output_table,output_column,code_in_data,label,definition,vocabulary,code_form
Activity,activity_type,BRONCHODILATOR_MEDICATION_USE,Bronchodilator Medication Use,"The act of taking one or more medication in the class of ""bronchodilators""",BDC-HM enumerated value,permissible value name
Condition,condition_concept,HP:0000822,Hypertension,"Hypertension is sustained elevation of resting systolic BP (140 mm Hg or higher), diastolic BP (90 mm Hg or higher), or both.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001297,Stroke,Sudden impairment of blood flow to a part of the brain due to occlusion or rupture of an artery to the brain.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001342,Cerebral hemorrhage,"A cerebral hemorrhage (or intracerebral hemorrhage, ICH), is a type of intracranial hemorrhage that occurs within the brain tissue itself.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001653,Mitral regurgitation,An abnormality of the mitral valve characterized by insufficiency or incompetence of the mitral valve resulting in retrograde leaking of blood through the mitral valve upon ventricular contraction.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001681,Angina pectoris,Paroxysmal chest pain that occurs with exertion or stress and is related to myocardial ischemia.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001712,Left ventricular hypertrophy,Enlargement or increased size of the heart left ventricle.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001714,Ventricular hypertrophy,Enlargement of the cardiac ventricular muscle tissue with increase in the width of the wall of the ventricle and loss of elasticity. Ventricular hypertrophy is clinically differentiated into left and right ventricular hypertrophy.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0001718,Mitral stenosis,An abnormal narrowing of the orifice of the mitral valve.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0002140,Ischemic stroke,"Acute ischemic stroke (AIS) is defined by the sudden loss of blood flow to an area of the brain with the resulting loss of neurologic function. It is caused by thrombosis or embolism that occludes a cerebral vessel supplying a specific area of the brain. During a vessel occlusion, there is a core area where damage to the brain is irreversible and an area of penumbra where the brain has lost function owing to decreased blood flow but is not irreversibly injured.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0002170,Intracranial hemorrhage,Hemorrhage occurring within the skull.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0002621,Atherosclerosis,"Strictly speaking, atherosclerosis is a specific type of arteriosclerosis ('hardening of the arteries'), although the terms are sometimes used interchangeably in clinical jargon.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0002625,Deep venous thrombosis,"Formation of a blot clot in a deep vein. The clot often blocks blood flow, causing swelling and pain. The deep veins of the leg are most often affected.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0004417,Intermittent claudication,Vascular intermittent claudication caused by peripheral arterial disease most often related to severe atherosclerosis.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0004420,Arterial thrombosis,The formation of a blood clot inside an artery.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0010535,Sleep apnea,"An intermittent cessation of airflow at the mouth and nose during sleep is known as sleep apnea. Apneas that last at least 10 seconds are considered significant, but individuals with sleep apnea may experience apneas lasting from 20 seconds up to 2 or 3 minutes. Patients may have up to 15 events per hour of sleep.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0012393,Allergy,An allergy is an immune response or reaction to substances that are usually not harmful.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0025691,Impaired fasting glucose,Impaired fasting glucose (IFG) is indicated by a fasting plasma glucose above normal but below the diabetic range. Levels between 110 mg/dl (6.1 mmol/l) to 125 mg/dl (6.9 mmol/l) are diagnostic of IFG.,Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0030828,Wheezing,"Wheezes and rhonchi are continuous musical lung sounds. The American Thoracic Society (ATS) Committee on pulmonary nomenclature defines wheezes as high-pitched continuous sounds with a dominant frequency of 400 Hz or more, and rhonchi as low-pitched continuous musical sounds with a dominant frequency of about 200 Hz or less",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,HP:0040270,Impaired glucose tolerance,"An abnormal resistance to glucose, i.e., a reduction in the ability to maintain glucose levels in the blood stream within normal limits following oral or intravenous administration of glucose.",Human Phenotype Ontology,ontology code (CURIE)
Condition,condition_concept,MONDO:0000745,cardiac arrest,Cessation of breathing and/or cardiac function.,Mondo Disease Ontology,ontology code (CURIE)
Condition,condition_concept,MONDO:0000831,thrombotic disease,The formation of a blood clot in the lumen of a vessel or heart chamber; causes include coagulation disorders and vascular endothelial injury.,Mondo Disease Ontology,ontology code (CURIE)
Condition,condition_concept,MONDO:0001302,hypertensive heart disease,Abnormal enlargement of the heart resulting from long-standing hypertension.,Mondo Disease Ontology,ontology code (CURIE)
Condition,condition_concept,MONDO:0002679,cerebral infarction,"An ischemic condition of the brain, producing a persistent focal neurological deficit in the area of distribution of the cerebral arteries.",Mondo Disease Ontology,ontology code (CURIE)
Condition,condition_concept,MONDO:0002771,pulmonary fibrosis,"Chronic progressive interstitial lung disorder characterized by the replacement of the lung tissue by connective tissue, leading to progressive dyspnea, respiratory failure, or right heart failure. Causes include chronic inflammatory processes, exposure to environmental irritants, radiation therapy, autoimmune disorders, certain drugs, or it may be idiopathic (no identifiable cause).",Mondo Disease Ontology,ontology code (CURIE)
Condition,condition_concept,MONDO:0002869,heart valve disorder,A disease involving the cardial valve.,Mondo Disease Ontology,ontology code (CURIE)
