cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","eosinophils percent","phv00112693","phs000285","pht001563","eosinphils (%)","%","","","","","phv00112654","CARDIA YEAR 0","","","","",,1,,,0,0,0
"aric","eosinophils percent","phv00207263","phs000280","pht004107","eosinophils % q9 [hematology form. hmta. visit 1]","%","","","","","phv00207267","ARIC EXAM 1","","","","",,1,,,0,0,0
"jhs","eosinophils percent","phv00127621","phs000286","pht001959","eosin: diff measure % [visit 1]","%","","","","","phv00127609","JHS EXAM 1","","","","",,1,,,0,0,0
"jhs","segs","phv00127630","phs000286","pht001959","segs: diff measure % [visit 1]","%","","","","","phv00127609","JHS EXAM 1","","","","",,1,,,0,0,0
"hchs_sol","eosinophils percent","phv00226287","phs000810","pht004715","% eosinophils (laba13)","%","","","","","phv00226250","HCHS EXAM","phv00226251","","","",,1,,,0,0,0
"cardia","segs","phv00112698","phs000285","pht001563","segs (%)","%","","","","","phv00112654","CARDIA YEAR 0","","","","",,1,,,0,0,0
"aric","eosinophils percent","phv00207278","phs000280","pht004108","eosinophils %. q9 [hematology form. hmtb. visit 2]","%","","","","","phv00207283","ARIC EXAM 2","","","","",,1,,,0,0,0
"jhs","bands","phv00127632","phs000286","pht001959","bands: diff measure % [visit 1]","%","","","","","phv00127609","JHS EXAM 1","","","","",,1,,,0,0,0
"cardia","bands","phv00112697","phs000285","pht001563","bands (%)","%","","","","","phv00112654","CARDIA YEAR 0","","","","",,1,,,0,0,0
"fhs","red cell distribution width","phv00172185","phs000007","pht002889","red cell distribution width (sample type: whole blood)","%","MeasurementObservation","rdw","%","OMOP:37397924","phv00172159","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00081031","phs000007","pht001045","hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00081012","FHS ORIGINAL EXAM 20 AND EXAM 21","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00227028","phs000007","pht004802","hematocrit (sample type: whole blood)","%","MeasurementObservation","hemat","%","OBA:2045381","phv00227023","FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00002414","phs000007","pht000016","blood analysis, hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00002425","FHS ORIGINAL EXAM 14","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00002030","phs000007","pht000015","blood analysis, hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00002204","FHS ORIGINAL EXAM 13","","","","",,1,1,1,0,0,1
