cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"aric","factor viii","phv00206649","pht004098","factor viii c value [hemostasis lab. hema. visit 1]","%{normal}","MeasurementObservation","factor_8","[IU]/mL","ARIC EXAM 1","phv00206655","","","",1,1,,0,0,0
"aric","fruits","phv00205069","pht004068","[fruits]. in the past year, how often on average did you consume... oranges; 1. q10 [dietary intake form. dtia. visit 1]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
"aric","fruits","phv00205289","pht004070","[fruits]. in the past year, how often on average did you consume... oranges; 1. q10 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","fruits","phv00205194","pht004069","[fruits]. in the past year, how often on average did you consume... other fruits; 1 fresh or 1/2 c. canned, including fruit cocktail. q14 [dietary intake form. dtib. visit 2]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","fruits","phv00205293","pht004070","[fruits]. in the past year, how often on average did you consume... other fruits; 1 fresh or 1/2 c. canned, including fruit cocktail. q14 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","fruits","phv00205190","pht004069","[fruits]. in the past year, how often on average did you consume... oranges; 1. q10 [dietary intake form. dtib. visit 2]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","fruits","phv00205189","pht004069","[fruits]. in the past year, how often on average did you consume... fresh apples or pears; 1. q9 [dietary intake form. dtib. visit 2]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","fruits","phv00205193","pht004069","[fruits]. in the past year, how often on average did you consume... bananas; 1. q13 [dietary intake form. dtib. visit 2]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","fruits","phv00205288","pht004070","[fruits]. in the past year, how often on average did you consume... fresh apples or pears; 1. q9 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","fruits","phv00205290","pht004070","[fruits]. in the past year, how often on average did you consume... orange or grapefruit juice; small glass. q11 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","fruits","phv00205072","pht004068","[fruits]. in the past year, how often on average did you consume... bananas; 1. q13 [dietary intake form. dtia. visit 1]","","MeasurementObservation","fruit_serving","{#}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
