cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
cardia,albumin creatinine ratio in urine,phv00119620,pht001803,alb/creat ratio (mg/g): 1000(ualb/ucret),mg/g{creat},MeasurementObservation,albumin_creatinine,mg/g{creat},CARDIA YEAR 10,phv00119617,1,1,,0,0,0,,,,1,
cardia,albumin creatinine ratio in urine,phv00120677,pht001849,"undetectable albuminuria, 1=undetectable",,MeasurementObservation,albumin_creatinine,mg/g{creat},CARDIA YEAR 15,phv00120674,1,1,,0,0,0,1,,,,
cardia,albumin creatinine ratio in urine,phv00120679,pht001849,alb/creat ratio (mg/g) 1000*(ualb/ucret),mg/g{creat},MeasurementObservation,albumin_creatinine,mg/g{creat},CARDIA YEAR 15,phv00120674,1,1,,0,0,0,,,,1,
cardia,albumin in blood,phv00119464,pht001794,"albumin sample, 3 ml. q 9",,MeasurementObservation,albumin_bld,g/dL,CARDIA YEAR 10,phv00119451,1,1,,0,0,0,1,,,,
cardia,albumin in blood,phv00119467,pht001794,"albumin qc sample, 3 ml. q 10",,MeasurementObservation,albumin_bld,g/dL,CARDIA YEAR 10,phv00119451,1,1,,0,0,0,1,,,,
cardia,albumin in urine,phv00120678,pht001849,urinary albumin,mg/dL,MeasurementObservation,albumin_urine,mg/L,CARDIA YEAR 15,phv00120674,1,1,,0,0,0,,,,1,
cardia,alcohol,phv00112862,pht001565,beer and ales,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112709,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00112863,pht001565,cordial and liqueur,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112709,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00112864,pht001565,distilled liquor,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112709,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00112865,pht001565,wine,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112709,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00112877,pht001566,major food group for alcohol,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112876,1,1,,0,0,0,1,,,,"nothing in CARDIA doc about what this variable means, it's units, or how it was derived"
cardia,alcohol,phv00112959,pht001568,flag for drinker. q 1,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,,0,0,0,1,,,,"for this pht, sum: phv00112961 + phv00112962 + phv00112960"
cardia,alcohol,phv00112960,pht001568,drinks of wine/week. q 2,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,1,0,0,1,,,,,manually fixed
cardia,alcohol,phv00112961,pht001568,drinks of beer/week. q 3,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,1,0,0,1,,,,,manually fixed
cardia,alcohol,phv00112962,pht001568,drinks of liquor/week. q 4,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,1,0,0,1,,,,,manually fixed
cardia,alcohol,phv00112963,pht001568,drinks during past 24 hrs. q 5,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,,1,0,1,1,,,,
cardia,alcohol,phv00112966,pht001568,"has pt had alcohol>once/twice, past yr? q 8",,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00112968,pht001568,usu # drinks/wk bef pt stopped drinking. q 10,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00112969,pht001568,previously drank wine (2=yes). q 11,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 0,phv00112958,1,1,,0,0,0,1,,,,
