cohort,phv,BDCHM_Label,new_bdchm_label
"ARIC","phv00206893","Mean arterial pressure",""
"ARIC","phv00207259","Neutrophils count","Neutrophils percent"
"ARIC","phv00207260","Neutrophils count","Neutrophils percent"
"ARIC","phv00207261","Lymphocytes count","Lymphocytes percent"
"ARIC","phv00207274","Neutrophils count","Neutrophils percent"
"ARIC","phv00207275","Neutrophils count","Neutrophils percent"
"ARIC","phv00207276","Lymphocytes count","Lymphocytes percent"
"ARIC","phv00294964","Lymphocytes count","Lymphocytes percent"
"ARIC","phv00507187","White blood cell count",""
"ARIC","phv00507200","mean corpuscular hemoglobin",""
"CHS","phv00197725","Sleep apnea",""
"CHS","phv00197726","Sleep apnea",""
"CHS","phv00197727","Sleep apnea",""
"CHS","phv00197728","Sleep apnea",""
"CHS","phv00197729","Sleep apnea",""
"CHS","phv00197730","Sleep apnea",""
"CHS","phv00197731","Sleep apnea",""
"CHS","phv00197732","Sleep apnea",""
"CHS","phv00197733","Sleep apnea",""
"CHS","phv00197734","Sleep apnea",""
"CHS","phv00197735","Sleep apnea",""
"CHS","phv00197736","Sleep apnea",""
"CHS","phv00197737","Sleep apnea",""
"CHS","phv00197738","Sleep apnea",""
"CHS","phv00197739","Sleep apnea",""
"CHS","phv00197740","Sleep apnea",""
"CHS","phv00197741","Sleep apnea",""
"CHS","phv00197742","Sleep apnea",""
"CHS","phv00197743","Sleep apnea",""
"CHS","phv00197744","Sleep apnea",""
"CHS","phv00197745","Sleep apnea",""
"CHS","phv00197746","Sleep apnea",""
"CHS","phv00197747","Sleep apnea",""
"CHS","phv00197748","Sleep apnea",""
"CHS","phv00197749","Sleep apnea",""
"CHS","phv00197750","Sleep apnea",""
"CHS","phv00197751","Sleep apnea",""
"CHS","phv00197752","Sleep apnea",""
"CHS","phv00197753","Sleep apnea",""
"CHS","phv00197754","Sleep apnea",""
"CHS","phv00197755","Sleep apnea",""
"CHS","phv00197756","Sleep apnea",""
"CHS","phv00197757","Sleep apnea",""
"CHS","phv00197758","Sleep apnea",""
"CHS","phv00197759","Sleep apnea",""
"CHS","phv00197760","Sleep apnea",""
"CHS","phv00197761","Sleep apnea",""
"CHS","phv00197921","Sleep apnea",""
"CHS","phv00197926","Sleep apnea",""
"CHS","phv00197931","Sleep apnea",""
"CHS","phv00197936","Sleep apnea",""
"CHS","phv00197941","Sleep apnea",""
"CHS","phv00197946","Sleep apnea",""
"CHS","phv00197951","Sleep apnea",""
"CHS","phv00197956","Sleep apnea",""
"CHS","phv00197961","Sleep apnea",""
"CHS","phv00197966","Sleep apnea",""
"CHS","phv00197971","Sleep apnea",""
"CHS","phv00197976","Sleep apnea",""
"CHS","phv00197993","Sleep apnea",""
"CHS","phv00197998","Sleep apnea",""
"CHS","phv00198003","Sleep apnea",""
"CHS","phv00198008","Sleep apnea",""
"CHS","phv00198013","Sleep apnea",""
