cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
jhs,albumin in urine,phv00127648,pht001960,spot urine albumin character result,,MeasurementObservation,albumin_urine,mg/L,JHS URINE,phv00127641,,,,1,1,,0,0,0,1,,,,more descriptive continuous var available; this is a categorical var
jhs,albumin in urine,phv00401723,pht008741,umali_cresult: character results for albumin [visit 6],,MeasurementObservation,albumin_urine,mg/L,JHS EXAM 6,phv00401710,,,,1,1,,0,0,0,,,,,manually add as lower limit to phv00401722
jhs,albumin in urine,phv00403011,pht008759,24 hour urine albumin character result: mg/24hr,mg/d,MeasurementObservation,albumin_urine,mg/L,JHS URINE,phv00403002,,,,1,1,,0,0,0,1,,,,categorical var redundant with the continous var that is mapped
jhs,albumin in urine,phv00403004,pht008759,24 hour urine albumin: mg/24hr,mg/d,MeasurementObservation,albumin_urine,mg/L,JHS URINE,phv00403002,,,,1,1,,0,0,0,,,/ {phv00403006} * 1000,,
jhs,albumin in urine,phv00401150,pht008729,24-hour urine albumin (mg/24hr),mg/d,MeasurementObservation,albumin_urine,mg/L,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,"no data on urine volume for this derived var, so cannot be converted. Min and max values look identical to the raw var on another form"
jhs,alcohol,phv00401383,pht008731,alcohol drinking in the past 12 months (y/n),,MeasurementObservation,alcohol_servings,{#}/wk,JHS EXAM 3,phv00401370,,,,1,1,,0,0,0,1,,,,
jhs,alcohol,phv00400742,pht008720,1. since your jackson heart study exam 1 have you consumed alcoholic beverages? [visit 9] [health practices: alcohol and drug use],,MeasurementObservation,alcohol_servings,{#}/wk,JHS EXAM 9,phv00400740,,,,1,1,,0,0,0,1,,,,
jhs,alcohol,phv00400744,pht008720,"2b. during the past 12 months, on the average, how many days per (weeks, month, or year) consumed any alcoholic beverage? number of days. per [unit of time] [visit 9] [health practices: alcohol and drug use]",,MeasurementObservation,alcohol_servings,{#}/wk,JHS EXAM 9,phv00400740,,,,1,1,,0,0,0,,,,,manually fixed
jhs,alcohol,phv00124669,pht001926,"1. have you ever consumed alcoholic beverages? [visit 1] [health practices: alcohol and drug use, version a]",,MeasurementObservation,alcohol_servings,{#}/wk,JHS EXAM 1,phv00124667,,,,1,1,,0,0,0,1,,,,
jhs,alcohol,phv00401089,pht008729,alcohol drinking in the past 12 months (y/n),,MeasurementObservation,alcohol_servings,{#}/wk,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,
