cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
"fhs","hematocrit","phv00002652","phs000007","pht000017","blood analysis: hematocrit","%","","MeasurementObservation","hemat","%","OBA:2045381","FHS ORIGINAL EXAM 15","phv00002668","","","","",,1,1,1,0,0,,1
"fhs","hematocrit","phv00000765","phs000007","pht000009","blood analysis: hematocrit, exam 5","%","","MeasurementObservation","hemat","%","OBA:2045381","","","","","","",,,1,1,0,0,,0
"fhs","hematocrit","phv00000929","phs000007","pht000009","blood analysis: hematocrit, exam 7","%","","MeasurementObservation","hemat","%","OBA:2045381","","","","","","",,,1,1,0,0,,0
"fhs","hematocrit","phv00227028","phs000007","pht004802","hematocrit (sample type: whole blood)","%","","MeasurementObservation","hemat","%","OBA:2045381","","","","","","",,,1,1,0,0,,0
"fhs","hematocrit","phv00002030","phs000007","pht000015","blood analysis, hematocrit","%","","MeasurementObservation","hemat","%","OBA:2045381","FHS ORIGINAL EXAM 13","phv00002204","","","","",,1,1,1,0,0,,1
"fhs","hematocrit","phv00007555","phs000007","pht000030","hematocrit","%","","MeasurementObservation","hemat","%","OBA:2045381","FHS OFFSPRING EXAM 1","phv00007675","","","","",,1,1,1,0,0,,1
"fhs","hematocrit","phv00003664","phs000007","pht000020","blood analysis: hematocrit (%)","%","","MeasurementObservation","hemat","%","OBA:2045381","FHS ORIGINAL EXAM 18","phv00003667","","","","",,1,1,1,0,0,,1
"fhs","hematocrit","phv00004516","phs000007","pht000022","blood analysis - hematocrit","%","","MeasurementObservation","hemat","%","OBA:2045381","FHS ORIGINAL EXAM 20","phv00004525","","","","",,1,1,1,0,0,,1
"fhs","hematocrit","phv00001047","phs000007","pht000010","hematocrit (percent)","%","","MeasurementObservation","hemat","%","OBA:2045381","FHS ORIGINAL EXAM 8","phv00001187","","","","",,1,1,1,0,0,,1
"aric","hemoglobin a1c","phv00295245","phs000280","pht006427","hba1c [clinical chemistry lab. chm. visit 5]","%","","MeasurementObservation","hemo_a1c","%","OMOP:4184637","ARIC EXAM 5","phv00295244","","","","",,1,1,1,0,0,,1
