bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
"MeasurementObservation","hematocrit","hemat","pht000012","phv00001376","phs000007","OBA:2045381","hematocrit","fhs","%","FHS ORIGINAL EXAM 10","","","phv00001559","phv00177948","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht002889","phv00172181","phs000007","OBA:2045381","hematocrit (sample type: whole blood)","fhs","%","","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","phv00172159","phv00177932","","look at phv00172160 to disambiguate","%",1,,1,1,1,0,0,,1,"","","",,"",1
"MeasurementObservation","hematocrit","hemat","pht000018","phv00002679","phs000007","OBA:2045381","blood analysis, hematocrit (%)","fhs","%","FHS ORIGINAL EXAM 16","","","phv00002946","phv00177960","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht000009","phv00000765","phs000007","OBA:2045381","blood analysis: hematocrit, exam 5","fhs","%","","FHS ORIGINAL EXAM 1-7","exam 5","phv00001036","","","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","%",1,,,1,1,0,0,,1,"","","",,"",1
"MeasurementObservation","hematocrit","hemat","pht000030","phv00007555","phs000007","OBA:2045381","hematocrit","fhs","%","FHS OFFSPRING EXAM 1","","","phv00007675","phv00177930","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht004715","phv00226303","phs000810","OBA:2045381","% hematocrit (laba4)","hchs_sol","%","HCHS EXAM","","","phv00226250","phv00226251","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht000009","phv00000929","phs000007","OBA:2045381","blood analysis: hematocrit, exam 7","fhs","%","","FHS ORIGINAL EXAM 1-7","exam 7","phv00001036","","","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","%",1,,,1,1,0,0,,1,"","","",,"",1
"MeasurementObservation","hematocrit","hemat","pht004110","phv00207301","phs000280","OBA:2045381","hematocrit. q5 [hematology lab. hmtcv401. visit 4]","aric","%","ARIC EXAM 4","","","phv00207307","","","","%",1,1,,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht000023","phv00004936","phs000007","OBA:2045381","blood analysis - hematocrit","fhs","%","FHS ORIGINAL EXAM 21","","","phv00004939","phv00177970","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht006422","phv00294957","phs000280","OBA:2045381","hematocrit, hct [complete blood count, cbc, visit 5]","aric","%","ARIC EXAM 5","","","phv00294953","","","","%",1,1,,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht000022","phv00004516","phs000007","OBA:2045381","blood analysis - hematocrit","fhs","%","FHS ORIGINAL EXAM 20","","","phv00004525","phv00177968","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","hematocrit","hemat","pht000009","phv00000842","phs000007","OBA:2045381","blood analysis: hematocrit, exam 6","fhs","%","","FHS ORIGINAL EXAM 1-7","exam 6","phv00001036","","","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","%",1,,,1,1,0,0,,1,"","","",,"",1
"MeasurementObservation","hematocrit","hemat","pht001045","phv00081031","phs000007","OBA:2045381","hematocrit","fhs","%","","FHS ORIGINAL EXAM 20 AND EXAM 21","","phv00081012","","","need to look at phv00081047 to see which is 20 and which is 21 FHS ORIGINAL EXAM 20 AND EXAM 21","%",1,,,1,1,0,0,,1,"","","",,"",1
"MeasurementObservation","hematocrit","hemat","pht000016","phv00002414","phs000007","OBA:2045381","blood analysis, hematocrit","fhs","%","FHS ORIGINAL EXAM 14","","","phv00002425","phv00177956","","","%",1,1,1,1,1,0,0,,1,"","","",,"",
"MeasurementObservation","red cell distribution width","rdw","pht004109","phv00207292","phs000280","OMOP:37397924","rbc distribution width. q9 [hematology lab. hmtcv301. visit 3]","aric","%","ARIC EXAM 3","","","phv00207295","","","","%",1,1,,1,1,0,0,,1,"","","",,"",
