row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,conversion_rule,unit_expr,unit_expr_custom,unit_casestmt,unit_casestmt_custom,bad_map,add_map,add_var_units,fix_key_note
"0","cardia","MeasurementObservation","albumin creatinine ratio in urine","albumin_creatinine","1","mg/g{creat}","phv00119620","alb/creat ratio (mg/g): 1000(ualb/ucret)","mg/g{creat}","1","pht001803","phv00119617","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","albumin creatinine ratio in urine","albumin_creatinine","1","mg/g{creat}","phv00120677","undetectable albuminuria, 1=undetectable","","1","pht001849","phv00120674","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","albumin creatinine ratio in urine","albumin_creatinine","1","mg/g{creat}","phv00120679","alb/creat ratio (mg/g) 1000*(ualb/ucret)","mg/g{creat}","1","pht001849","phv00120674","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","albumin in blood","albumin_bld","1","g/dL","phv00119464","albumin sample, 3 ml. q 9","","1","pht001794","phv00119451","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","albumin in blood","albumin_bld","1","g/dL","phv00119467","albumin qc sample, 3 ml. q 10","","1","pht001794","phv00119451","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","albumin in urine","albumin_urine","1","mg/L","phv00120678","urinary albumin","mg/dL","1","pht001849","phv00120674","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112862","beer and ales","","1","pht001565","phv00112709","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112863","cordial and liqueur","","1","pht001565","phv00112709","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112864","distilled liquor","","1","pht001565","phv00112709","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112865","wine","","1","pht001565","phv00112709","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112877","major food group for alcohol","","1","pht001566","phv00112876","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","","nothing in CARDIA doc about what this variable means, it's units, or how it was derived"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112959","flag for drinker. q 1","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","","for this pht, sum: phv00112961 + phv00112962 + phv00112960"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112963","drinks during past 24 hrs. q 5","{#}/d","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","1","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112966","has pt had alcohol>once/twice, past yr? q 8","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112968","usu # drinks/wk bef pt stopped drinking. q 10","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112969","previously drank wine (2=yes). q 11","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112970","previously drank beer (2=yes). q 11","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112971","previously drank liquor (2=yes). q 11","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112972","previously drank other (2=yes). q 11","","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00112974","ml of alcohol/day","mL/d","1","pht001568","phv00112958","","CARDIA YEAR 0","","","","","","","","","1","","0","","","","","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00113830","alcohol (gm)","g/mo","1","pht001591","phv00113813","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","","","","The dietary history referenced intake for the previous month"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00113924","alcohol (gm)","g/mo","1","pht001592","phv00113907","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","","","","The dietary history referenced intake for the previous month"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114305","mean ml of absolute alcohol consumption","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114306","drinker. q 1","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114307","drinks wine/week. q 2","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114308","drinks beer/week. q 3","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114309","drinks liquor/week. q 4","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114310","drinks in past 24 hrs. q5","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114313","drank more than once in past yr. q 8","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114314","years ago stopped drinking. q 9","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114315","usual number of drinks. q 10","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114316","past consumption of wine. q 11","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00114317","past consumption of beer. q 11","","1","pht001600","phv00114304","","CARDIA YEAR 2","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115415","mean ml of alcohol consumption per day","mL/d","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115416","drinker. q 1","","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115417","drinks wine/week. q 2","","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115418","drinks beer/week. q 3","","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115419","drinks liquor/week. q 4","","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115420","drinks in past 24 hrs. q 5","","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115421","most drinks/day, last month. q 6","","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00115422","number of days had c07numdr. q 7","d","1","pht001655","phv00115414","","CARDIA YEAR 5","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116914","beer and ales","","1","pht001712","phv00116761","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116915","cordial and liqueur","","1","pht001712","phv00116761","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116916","distilled liquor","","1","pht001712","phv00116761","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116917","wine","","1","pht001712","phv00116761","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116929","major food group for alcohol","","1","pht001713","phv00116928","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116946","drinker. q 1","","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116947","drinks wine/week. q 2","","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116948","drinks beer/week. q 3","","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116949","drinks liquor/week. q 4","","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116950","drinks in past 24 hrs. q 5","","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116951","most drinks/day, last month. q 6","","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00116952","mean ml of alcohol consumption per day","mL/d","1","pht001714","phv00116945","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00117620","alcohol (gm)","g/mo","1","pht001745","phv00117593","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","1","The dietary history referenced intake for the previous month"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00117734","alcohol (gm)","g/mo","1","pht001746","phv00117707","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","1","The dietary history referenced intake for the previous month"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118417","drinker. q 1","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118418","drinks wine/week. q 2","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118419","drinks beer/week. q 3","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118420","drinks liquor/week. q 4","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","","","","manually fixed"
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118421","drinks in past 24 hrs. q 5","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118422","most drinks/day, last month. q 6","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00118425","mean ml of alcohol consumption per day","","1","pht001760","phv00118416","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00119513","alcohol in past 24 hrs?","","1","pht001795","phv00119471","","CARDIA YEAR 10","","","","","","phv00119507","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00119514","beers in past 24 hrs","","1","pht001795","phv00119471","","CARDIA YEAR 10","","","","","","phv00119507","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00119515","wine in past 24 hrs","","1","pht001795","phv00119471","","CARDIA YEAR 10","","","","","","phv00119507","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00119516","liquor in past 24 hrs","","1","pht001795","phv00119471","","CARDIA YEAR 10","","","","","","phv00119507","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00119800","mean ml of alcohol consumption per day","mL/d","1","pht001810","phv00119790","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00120701","did you drink alcohol","","1","pht001850","phv00120680","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00120702","type of alcohol","","1","pht001850","phv00120680","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","alcohol servings","alcohol_servings","1","{#}/wk","phv00120703","number of drinks","","1","pht001850","phv00120680","","CARDIA YEAR 15","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","basophils count","basophil_ncnc_bld","1","10*3/uL","phv00112686","white cell count (x 1000)","","1","pht001563","phv00112654","","CARDIA YEAR 0","","","","","","","","","0","","0","","","","1","","",""
"0","cardia","MeasurementObservation","basophils count","basophil_ncnc_bld","1","10*3/uL","phv00112696","basophils (%)","%","1","pht001563","phv00112654","","CARDIA YEAR 0","","","","","","","","","0","","0","/100 * {phv00112686}","","","1","","","GitHub issue 233"
"","cardia","","body weight","","","","phv00112976","","","","","","","","","","","","","","","","","","","","","","","1","","added per GitHub issue 312"
"","cardia","","body weight","","","","phv00114325","","","","","","","","","","","","","","","","","","","","","","","1","","added per GitHub issue 312"
"","cardia","","body weight","","","","phv00117077","","","","","","","","","","","","","","","","","","","","","","","1","","added per GitHub issue 312"
"0","cardia","MeasurementObservation","body weight","bdy_wgt","1","kg","phv00117442","ppt weight during exam 3","[lb_av]","1","pht001725","phv00117441","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","body weight","bdy_wgt","1","kg","phv00117443","ppt weight during exam 4","[lb_av]","1","pht001725","phv00117441","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","body weight","bdy_wgt","1","kg","phv00117926","weight - mon 96","[lb_av]","1","pht001749","phv00117898","","CARDIA YEAR 7","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","body weight","bdy_wgt","1","kg","phv00119261","ppt weight during exam 4. q 2","[lb_av]","1","pht001790","phv00119258","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","body weight","bdy_wgt","1","kg","phv00119262","ppt weight during exam 5. q 2","[lb_av]","1","pht001790","phv00119258","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","","","1",""
"0","cardia","MeasurementObservation","cac score","cac_score","1","{score}","phv00118019","total: agatston score","","1","pht001754","phv00118009","","CARDIA YEAR 10","","","","","","","","","0","","0","","","","1","","",""
