cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,diastolic blood pressure,phv00000722,phs000007,pht000009,"blood pressure: second examiner, diastolic, exam 4",,,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,,0,0,,0
fhs,diastolic blood pressure,phv00021148,phs000007,pht000074,diastolic blood pressure: physician's second reading (to nearest 2mm hg),,,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,FHS GENERATION 3 EXAM 1,phv00021427,,,,,,1.0,1,,0,0,,0
fhs,diastolic blood pressure,phv00021093,phs000007,pht000074,diastolic blood pressure: physician's first reading (to nearest 2mm hg),,,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,FHS GENERATION 3 EXAM 1,phv00021427,,,,,,1.0,1,,0,0,,0
fhs,diastolic blood pressure,phv00274824,phs000007,pht006007,physical exam - physician blood pressure 2nd reading - diastolic (nearest 2mm hg),,,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,FHS ORIGINAL EXAM 31,phv00274708,,,,,,1.0,1,,0,0,,0
fhs,diastolic blood pressure,phv00275181,phs000007,pht006008,physical exam - physician blood pressure 2nd reading - diastolic (nearest 2mm hg),,,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,FHS ORIGINAL EXAM 32,phv00275063,,,,,,1.0,1,,0,0,,0
fhs,diastolic blood pressure,phv00055257,phs000007,pht000395,seated diastolic blood pressure,,,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,,0,0,,0
fhs,diastolic blood pressure,phv00369844,phs000007,pht007777,"average diastolic blood pressure, exam 6",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000836,phs000007,pht000009,"blood pressure: first examiner, diastolic, exam 6",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369858,phs000007,pht007777,"average diastolic blood pressure, exam 20",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369852,phs000007,pht007777,"average diastolic blood pressure, exam 14",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00423905,phs000007,pht009761,"average diastolic blood pressure, exam 4",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369855,phs000007,pht007777,"average diastolic blood pressure, exam 17",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369861,phs000007,pht007777,"average diastolic blood pressure, exam 23",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000834,phs000007,pht000009,"blood pressure: admission, diastolic, exam 6",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00177354,phs000007,pht003094,physical exam-blood pressure: physician blood pressure first reading - diastolic,mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000762,phs000007,pht000009,"blood pressure: second examiner, diastolic, exam 5",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369847,phs000007,pht007777,"average diastolic blood pressure, exam 9",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369869,phs000007,pht007777,"average diastolic blood pressure, exam 31",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369840,phs000007,pht007777,"average diastolic blood pressure, exam 2",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369845,phs000007,pht007777,"average diastolic blood pressure, exam 7",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
