row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,conversion_rule,unit_expr,unit_expr_custom,unit_casestmt,unit_casestmt_custom,bad_map,add_map,add_var_units,fix_key_note
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000643","blood pressure: first examiner, diastolic, exam 3","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 3","","","","","","phv00177934","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000833","blood pressure: admission, systolic, exam 6","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 6","","","","","","phv00177940","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000533","blood pressure: second examiner, diastolic, exam 1","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 1","","","","","","phv00177930","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000645","blood pressure: second examiner, diastolic, exam 3","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 3","","","","","","phv00177934","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000758","blood pressure: admission, diastolic, exam 5","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 5","","","","","","phv00177938","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000625","blood pressure: second examiner, diastolic, exam 2","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 2","","","","","","phv00177932","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000621","blood pressure: admission, diastolic, exam 2","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 2","","","","","","phv00177932","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000923","blood pressure: second examiner, diastolic, exam 7","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 7","","","","","","phv00177942","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000919","blood pressure: admission, diastolic, exam 7","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 7","","","","","","phv00177942","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000530","blood pressure: first examiner, systolic, exam 1","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 1","","","","","","phv00177930","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
