row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,conversion_rule,unit_expr,unit_expr_custom,unit_casestmt,unit_casestmt_custom,bad_map,add_map,add_var_units,fix_key_note
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00124669,"1. have you ever consumed alcoholic beverages? [visit 1] [health practices: alcohol and drug use, version a]",,1,pht001926,phv00124667,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00124670,"2a. during the past 12 months, on the average, how many days per week, month, or year did you drink any alcoholic beverage? number of days [visit 1] [health practices: alcohol and drug use, version a]",d,1,pht001926,phv00124667,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,,manually fixed
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00124671,"2b. during the past 12 months, on the average, how many days per week, month, or year did you drink any alcoholic beverage? per-unit of time week/month/year [visit 1] [health practices: alcohol and drug use, version a]",,1,pht001926,phv00124667,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,,manually fixed
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00400742,1. since your jackson heart study exam 1 have you consumed alcoholic beverages? [visit 9] [health practices: alcohol and drug use],,1,pht008720,phv00400740,,JHS EXAM 9,,,,,,,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00400743,"2. during the past 12 months, on the average, how many days per (weeks, month, or year) consumed any alcoholic beverage? number of days. [visit 9] [health practices: alcohol and drug use]",d,1,pht008720,phv00400740,,JHS EXAM 9,,,,,,,,,0,,0,,,,,,,manually fixed
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00400744,"2b. during the past 12 months, on the average, how many days per (weeks, month, or year) consumed any alcoholic beverage? number of days. per [unit of time] [visit 9] [health practices: alcohol and drug use]",,1,pht008720,phv00400740,,JHS EXAM 9,,,,,,,,,0,,0,,,,,,,manually fixed
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00401089,alcohol drinking in the past 12 months (y/n),,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00401090,average number of drinks per week in the past 12 months,{#}/wk,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00401383,alcohol drinking in the past 12 months (y/n),,1,pht008731,phv00401370,,JHS EXAM 3,,,,,,phv00401379,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,alcohol servings,alcohol_servings,1,{#}/wk,phv00401384,average number of drinks per week in the last 12 months,{#}/wk,1,pht008731,phv00401370,,JHS EXAM 3,,,,,,phv00401379,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,crp c-reactive protein,crp,1,mg/L,phv00125940,character results for hscrp [visit 1],,1,pht001945,phv00125925,,JHS EXAM 6,,,,,,,,,0,,0,,,,1,,,out of scope
0,jhs,MeasurementObservation,lymphocytes percent,lympho_ct,1,10*3/uL,phv00127622,lymphs: diff measure % [visit 1],%,1,pht001959,phv00127609,,JHS EXAM 1,,,,,,,,,0,,0,,,,,1,,changed mapped HV
0,jhs,MeasurementObservation,vegetable servings,vege_serving,1,{#}/wk,phv00401250,daily serving of dark-green vegetables,{#}/d,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,albumin in urine,albumin_urine,1,mg/L,phv00127648,spot urine albumin character result,,1,pht001960,phv00127641,,JHS URINE,,,,,,,,,0,,0,,,,1,,,more descriptive continuous var available; this is a categorical var
0,jhs,MeasurementObservation,albumin in urine,albumin_urine,1,mg/L,phv00401150,24-hour urine albumin (mg/24hr),mg/d,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,1,,,"no data on urine volume for this derived var, so cannot be converted. Min and max values look identical to the raw var on another form"
0,jhs,MeasurementObservation,albumin in urine,albumin_urine,1,mg/L,phv00401723,umali_cresult: character results for albumin [visit 6],,1,pht008741,phv00401710,,JHS EXAM 6,,,,,,,,,0,,0,,,,,,,manually add as lower limit to phv00401722
0,jhs,MeasurementObservation,albumin in urine,albumin_urine,1,mg/L,phv00403004,24 hour urine albumin: mg/24hr,mg/d,1,pht008759,phv00403002,,JHS URINE,,,,,,,,,0,,0,/ {phv00403006} * 1000,,,,,,
0,jhs,MeasurementObservation,albumin in urine,albumin_urine,1,mg/L,phv00403011,24 hour urine albumin character result: mg/24hr,mg/d,1,pht008759,phv00403002,,JHS URINE,,,,,,,,,0,,0,,,,1,,,categorical var redundant with the continous var that is mapped
0,jhs,MeasurementObservation,basophils count,basophil_ncnc_bld,1,10*3/uL,phv00127620,baso: diff measure % [visit 1],%,1,pht001959,phv00127609,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,bnp,bnp,1,pg/mL,phv00401564,bnp character result,,1,pht008733,phv00401561,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,manually add lower detection limit to phv00401563
,jhs,MeasurementObservation,body weight,bdy_wgt,,kg,phv00402807,What did you weigh when you were age 18,[lb_av],,pht008753,phv00402777,,JHS EXAM 2,,,,,,18,,,,,,,,,,1,1,added per GitHub issue 314
0,jhs,MeasurementObservation,cac score,cac_score,1,{score},phv00126002,24. agatston score all coronary (does not include others),{score},1,pht001948,phv00126001,,JHS EXAM 2,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,cac score,cac_score,1,{score},phv00401333,coronary artery calcium score,{score},1,pht008730,phv00401273,,JHS EXAM 2,,,,,,phv00401282,,,0,,0,,,,1,,1,values seem identical to raw data stored in another phv
0,jhs,MeasurementObservation,creatinine in urine,creat_urin,1,mg/dL,phv00401149,24-hour urine creatinine (g/24hr),g/d,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,1,,,"no data on urine volume for this derived var, so cannot be converted. Min and max values look identical to the raw var on another form"
0,jhs,MeasurementObservation,creatinine in urine,creat_urin,1,mg/dL,phv00403005,urine creatinine: g/24hr,g/d,1,pht008759,phv00403002,,JHS URINE,,,,,,,,,0,,0,/ {phv00403006} * 100,,,,,,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00124609,diastolic blood pressure [visit 1],mm[Hg],1,pht001922,phv00124604,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00124629,minimum diastolic blood pressure [visit 1],,1,pht001923,phv00124614,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,something looks wrong with this data values; dbgap table shows every participant had the same value
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00124630,maximum diastolic blood pressure [visit 1],,1,pht001923,phv00124614,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,something looks wrong with this data values; dbgap table shows every participant had the same value
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125872,9b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125874,9d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125877,10b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125879,10d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125882,11b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125884,11d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125887,12b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125889,12d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125892,13b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125894,13d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125897,14b. correlation using t-tube connector. sphygmomanometer (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125898,14c. correlation using t-tube connector. ambulatory monitor (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00125899,14d. correlation using t-tube connector. ambulatory monitor (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1,pht001941,phv00125864,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00128371,"q14. d. first blood pressure measurement. diastolic (first bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1,pht001974,phv00128355,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00128372,"q15. d. first blood pressure measurement. zero reading (first bp) [visit 1] [sitting blood pressure form, sbp]",,1,pht001974,phv00128355,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00128374,"q17. e. second blood pressure measurement. diastolic (second bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1,pht001974,phv00128355,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00128375,"q18. e. second blood pressure measurement. zero reading (second bp) [visit 1] [sitting blood pressure form, sbp]",,1,pht001974,phv00128355,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00128377,"q20. e. second blood pressure measurement. diastolic (computed net average) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1,pht001974,phv00128355,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00403814,"q17. e. first random zero blood pressure measurement. diastolic (1st random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],1,pht008782,phv00403792,,JHS EXAM 6,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00403817,"q20. f. second random zero blood pressure measurement. diastolic (2nd random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],1,pht008782,phv00403792,,JHS EXAM 6,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00403820,"q23. g. computed net average of first and second random zero blood pressure measurements. diastolic (net average random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],1,pht008782,phv00403792,,JHS EXAM 6,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00403849,"q14. e. first omron blood pressure measurement. diastolic reading [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00403852,"q17. f. second omron blood pressure measurement. 2nd diastolic reading [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,mm[Hg],phv00403855,"q20. g. computed net average of first and second omron blood pressure measurements. computed diastolic [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,L,phv00128210,"best_fev1 - forced expiratory volume in 1 second, fev1.0 from the best curve: measured in liters",L,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,L,phv00128220,"scnd_fev1 - forced expiratory volume in 1 second, fev1.0 from the 2nd best curve: measured in liters",L,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,L,phv00128230,"thrd_fev1 - forced expiratory volume in 1 second, fev1.0 from the 3rd best curve: measured in liters",L,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,L,phv00128243,derived fev1 % predicted,,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,1,,,predicted values are out of scope
0,jhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,L,phv00401165,fev1 % predicted,%,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,1,,,predicted values are out of scope
0,jhs,MeasurementObservation,fvc - forced vital capacity,fvc,1,L,phv00128209,best_fvc - best forced vital capacity from best curve (best curve is an acceptable curve that has max [fvc + fev1 ] ): measured in liters,L,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fvc - forced vital capacity,fvc,1,L,phv00128219,scnd_fvc - best forced vital capacity from 2nd best curve (second best curve is second highest [fvc + fev1 ] ): measured in liters,L,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fvc - forced vital capacity,fvc,1,L,phv00128229,thrd_fvc - best forced vital capacity from 3rd best curve (third best curve is third highest [ fvc + fev1 ] ): measured in liters,L,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,fvc - forced vital capacity,fvc,1,L,phv00128242,derived fvc % predicted,,1,pht001969,phv00128197,,JHS PULMONARY,,,,,,,,,0,,0,,,,1,,,predicted values are out of scope
0,jhs,MeasurementObservation,fvc - forced vital capacity,fvc,1,L,phv00401166,fvc % predicted,%,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,1,,,predicted values are out of scope
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00124610,heart rate [visit 1],{beats}/min,1,pht001922,phv00124604,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,1,lots of zero values
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00127504,heart rate during aortic outflow doppler study [visit 1],{beats}/min,1,pht001955,phv00127457,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00127511,heart rate during mitral inflow doppler study [visit 1],{beats}/min,1,pht001955,phv00127457,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00128364,"q8. c. preliminary measurements. heart rate (30 sec) [visit 1] [sitting blood pressure form, sbp]",{beats}/min,1,pht001974,phv00128355,,JHS EXAM 1,,,,,,,,,0,,0,* 2,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00403806,"q10. c. preliminary measurement. heart rate in 30 seconds [visit 6] [sitting blood pressure form, sbp]",{beats}/min,1,pht008782,phv00403792,,JHS EXAM 6,,,,,,,,,0,,0,* 2,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00403844,"q10. c. preliminary measurements. heart rate (30 seconds) [visit 1] [sitting blood pressure form, sbp]",{beats}/min,1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,* 2,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00403850,"q15. e. first omron blood pressure measurement. heart rate reading [visit 1] [sitting blood pressure form, sbp]",{beats}/min,1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00403853,"q18. f. second omron blood pressure measurement. 2nd heart rate reading [visit 1] [sitting blood pressure form, sbp]",{beats}/min,1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,heart rate,hrtrt,1,{beats}/min,phv00403856,"q21. g. computed net average of first and second omron blood pressure measurements. computed heart rate [visit 1] [sitting blood pressure form, sbp]",{beats}/min,1,pht008783,phv00403830,,JHS EXAM 1,,,,,,,,,0,,0,,,,1,,1,
0,jhs,MeasurementObservation,hemoglobin a1c,hemo_a1c,1,%,phv00401127,ifcc hemoglobin a1c (mmol/mol),mmol/mol,1,pht008729,phv00401078,,JHS EXAM 1,,,,,,phv00401085,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,hemoglobin a1c,hemo_a1c,1,%,phv00401316,ifcc hemoglobin a1c (mmol/mol),mmol/mol,1,pht008730,phv00401273,,JHS EXAM 2,,,,,,phv00401282,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,hemoglobin a1c,hemo_a1c,1,%,phv00401418,ifcc hemoglobin a1c (mmol/mol),mmol/mol,1,pht008731,phv00401370,,JHS EXAM 3,,,,,,phv00401379,,,0,,0,,,,1,,,
0,jhs,MeasurementObservation,mean corpuscular hemoglobin,mch,1,pg/{cell},phv00127623,mch pg [visit 1],pg/{cell},1,pht001959,phv00127609,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,mean corpuscular volume,mcv,1,fL,phv00127625,mcv fl [visit 1],fL,1,pht001959,phv00127609,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,mean platelet volume,pmv,1,fL,phv00127627,mpv fl [visit 1],fL,1,pht001959,phv00127609,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402208,prduri - pr duration in lead i [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402209,prdurii - pr duration in lead ii [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402210,prduriii - pr duration in lead iii [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402211,prduravr - pr duration in lead avr [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402212,prduravl - pr duration in lead avl [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402213,prduravf - pr duration in lead avf [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402214,prdurv1 - pr duration in lead v1 [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
0,jhs,MeasurementObservation,pr interval,pr_ekg,1,ms,phv00402215,prdurv2 - pr duration in lead v2 [visit 1],ms,1,pht008746,phv00402039,,JHS EXAM 1,,,,,,,,,0,,0,,,,,,1,units inferred
