cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
aric,fruit servings,phv00205292,phs000280,pht004070,"[fruits]. in the past year, how often on average did you consume... bananas; 1. q13 [dietary intake form. dtic04. visit 3]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 3,phv00205385,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205290,phs000280,pht004070,"[fruits]. in the past year, how often on average did you consume... orange or grapefruit juice; small glass. q11 [dietary intake form. dtic04. visit 3]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 3,phv00205385,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205190,phs000280,pht004069,"[fruits]. in the past year, how often on average did you consume... oranges; 1. q10 [dietary intake form. dtib. visit 2]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 2,phv00205279,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205191,phs000280,pht004069,"[fruits]. in the past year, how often on average did you consume... orange or grapefruit juice; small glass. q11 [dietary intake form. dtib. visit 2]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 2,phv00205279,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205289,phs000280,pht004070,"[fruits]. in the past year, how often on average did you consume... oranges; 1. q10 [dietary intake form. dtic04. visit 3]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 3,phv00205385,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205288,phs000280,pht004070,"[fruits]. in the past year, how often on average did you consume... fresh apples or pears; 1. q9 [dietary intake form. dtic04. visit 3]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 3,phv00205385,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205293,phs000280,pht004070,"[fruits]. in the past year, how often on average did you consume... other fruits; 1 fresh or 1/2 c. canned, including fruit cocktail. q14 [dietary intake form. dtic04. visit 3]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 3,phv00205385,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205291,phs000280,pht004070,"[fruits]. in the past year, how often on average did you consume... peaches, apricots or plums; 1 fresh or 1/2 c. canned or dried. q12 [dietary intake form. dtic04. visit 3]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 3,phv00205385,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205068,phs000280,pht004068,"[fruits]. in the past year, how often on average did you consume... fresh apples or pears; 1. q9 [dietary intake form. dtia. visit 1]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 1,phv00205178,,,,,,1.0,1,,0,0,,0
aric,fruit servings,phv00205071,phs000280,pht004068,"[fruits]. in the past year, how often on average did you consume... peaches, apricots, plums; 1 fresh or 1/2 c. canned or dried. q12 [dietary intake form. dtia. visit 1]",,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,ARIC EXAM 1,phv00205178,,,,,,1.0,1,,0,0,,0
