bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004194,phv00210335,phs000280,OMOP:4154790,"2nd diastolic blood pressure measurement, diastolic. q17 [sitting blood pressure. sbpc04_02. visit 3]",aric,mm[Hg],ARIC EXAM 3,0,0,phv00210347,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006480,phv00298035,phs000280,OMOP:4154790,"b. first blood pressure/ pulse rate. q6.1st: diastolic [sitting blood pressure form, sbp]",aric,mm[Hg],ARIC LAB FORM,0,0,phv00298028,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004079,phv00205848,phs000280,OMOP:4154790,"diastolic blood pressure 8 [cohort (jackson only), exam 3]",aric,mm[Hg],ARIC EXAM 3,0,exam 3,phv00205920,phv00510683,0,phv00510683,mm[Hg],1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203339,phs000280,OMOP:4154790,second arm diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004192,phv00210286,phs000280,OMOP:4154790,[second blood pressure measurement]. 2nd zero reading. q17 [siting blood pressure. sbpa. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00210296,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004195,phv00210361,phs000280,OMOP:4154790,2nd diastolic blood pressure measurement. q17 [sitting blood pressure. sbpd04_02. visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00210370,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006480,phv00298038,phs000280,OMOP:4154790,"c. second blood pressure/pulse rate. q9. 2nd: diastolic [sitting blood pressure form, sbp]",aric,mm[Hg],ARIC LAB FORM,0,0,phv00298028,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004229,phv00215413,phs000280,OMOP:4154790,diastolic blood pressure [bp] 1 [carotid distensibility. udta. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00215518,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004043,phv00203363,phs000280,OMOP:4154790,second arm diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00203372,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004229,phv00215415,phs000280,OMOP:4154790,diastolic blood pressure [bp] 2 [carotid distensibility. udta. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00215518,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004043,phv00203371,phs000280,OMOP:4154790,second standing diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00203372,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006414,phv00294508,phs000280,OMOP:4154790,"right brachial diastolic blood pressure, rbdia [ankle brachial bp index. abi. visit 5]",aric,mm[Hg],ARIC EXAM 5,0,0,phv00294489,phv00294491,0,age at visit 5 phv00294491,mm[Hg],1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004193,phv00210317,phs000280,OMOP:4154790,"computed net average of second and third blood pressure measurements, diastolic. q22 [sitting blood pressure. sbpb02. visit 2]",aric,mm[Hg],ARIC EXAM 2,0,0,phv00210321,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203345,phs000280,OMOP:4154790,first standing diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004192,phv00210288,phs000280,OMOP:4154790,[third blood pressure measurement]. 3rd diastolic. q19 [siting blood pressure. sbpa. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00210296,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004229,phv00215417,phs000280,OMOP:4154790,mean diastolic blood pressure [bp] [carotid distensibility. udta. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00215518,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006415,phv00294570,phs000280,OMOP:4154790,"right brachial diastolic blood pressure, rbdia [ankle brachial index - derived. abi_derv. visit 5]",aric,mm[Hg],ARIC EXAM 5,0,0,phv00294559,phv00294561,0,age at visit 5 phv00294561,mm[Hg],1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004192,phv00210285,phs000280,OMOP:4154790,[second blood pressure measurement]. 2nd diastolic. q16 [siting blood pressure. sbpa. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00210296,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203343,phs000280,OMOP:4154790,sitting diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004194,phv00210341,phs000280,OMOP:4154790,[computed net average of second and third blood pressure measurements]. 2nd and 3rd diastolic blood pressure average. q23 [sitting blood pressure. sbpc04_02. visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00210347,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
