row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00207664,ldl cholesterol (value in mg/dl) q5 [lipid lab. lipc04. visit 3],mg/dL,1.0,pht004123,phv00207667,1.0,ARIC EXAM 3,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00207680,ldl cholesterol. q8 [lipid lab. lipd04. visit 4],mg/dL,1.0,pht004124,phv00207685,1.0,ARIC EXAM 4,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00296694,ldlcc cholesterol calculated [central lab data],mg/dL,1.0,pht006444,phv00296690,1.0,ARIC EXAM 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00507332,recalculated ldl cholesterol [visit 7/ncs derived variable dataset. derive71],mg/dL,1.0,pht012504,phv00507300,1.0,ARIC EXAM 7,0.0,0,0,0,1.0,phv00507307,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00507552,"ldl cholesterol calculated (mg/dl) [lipid lab, lipf]",mg/dL,1.0,pht012511,phv00507546,1.0,ARIC EXAM 1,0.0,0,0,0,0.0,0,guessing it's exam 1 based on variable names in the table,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00512071,recalculated ldl cholesterol [cohort visit derived variables. visit 5],mg/dL,1.0,pht012814,phv00512039,1.0,ARIC EXAM 5,0.0,0,0,0,1.0,phv00512050,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00512247,recalculated ldl cholesterol [4.2 - 390.8 ( median=95.4 mean=99.09 std=33.47 )] [cohort visit derived variables. derive61. visit 6],mg/dL,1.0,pht012815,phv00512222,1.0,ARIC EXAM 6,0.0,0,0,0,1.0,phv00512229,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00519835,v2 ldl mg/dl (ldl22 in derived data set),mg/dL,1.0,pht012853,phv00519789,1.0,ARIC COHORT,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00519834,v1 ldl mg/dl (ldl02 in derived data set),mg/dL,1.0,pht012853,phv00519789,1.0,ARIC COHORT,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00519836,v3 ldl mg/dl (ldl32 in derived data set),mg/dL,1.0,pht012853,phv00519789,1.0,ARIC COHORT,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00519837,v4 ldl mg/dl (ldl41 in derived data set),mg/dL,1.0,pht012853,phv00519789,1.0,ARIC COHORT,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,aric,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00519838,v5 ldl mg/dl reference (ldl51 in derived data set),mg/dL,1.0,pht012853,phv00519789,1.0,ARIC COHORT,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
