bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,triglycerides in blood,triglyc_bld,pht004124,phv00207676,phs000280,OBA:VT0002644,triglyceride (value). q2a [lipid lab. lipd04. visit 4],aric,mg/dL,ARIC EXAM 4,0,0,phv00207685,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht004121,phv00207636,phs000280,OBA:VT0002644,total triglycerides (mg/dl) [lipid lab. lipa. visit 1],aric,mg/dL,ARIC EXAM 1,0,0,phv00207644,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht012511,phv00507551,phs000280,OBA:VT0002644,"total triglycerides (mg/dl) [lipid lab, lipf]",aric,mg/dL,ARIC EXAM 1,0,0,phv00507546,0,0,guessing it's exam 1 based on variable names in the table,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht004122,phv00207649,phs000280,OBA:VT0002644,triglyceride (value). q2a [lipid lab. lipb. visit 2],aric,mg/dL,ARIC EXAM 2,0,0,phv00207655,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht006444,phv00296692,phs000280,OBA:VT0002644,total triglycerides [central lab data],aric,mg/dL,ARIC EXAM 5,0,0,phv00296690,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht004123,phv00207661,phs000280,OBA:VT0002644,triglyceride (value in mg/dl). q2a [lipid lab. lipc04. visit 3],aric,mg/dL,ARIC EXAM 3,0,0,phv00207667,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht012504,phv00507331,phs000280,OBA:VT0002644,triglycerides in si units [visit 7/ncs derived variable dataset. derive71],aric,mg/dL,ARIC EXAM 7,0,0,phv00507300,phv00507307,0,phv00507307,mmol/L,1.0,1.0,1.0,1,0.0,0,1,0.0,1,* 88.57,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht004064,phv00204877,phs000280,OBA:VT0002644,triglycerides in si units [cohort. visit 3],aric,mg/dL,ARIC EXAM 3,0,0,phv00204919,phv00204871,0,age at visit 3 phv00204871,mmol/L,1.0,1.0,1.0,1,0.0,0,1,0.0,1,* 88.57,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht004063,phv00204738,phs000280,OBA:VT0002644,total triglycerides in si units [cohort. visit 1],aric,mg/dL,ARIC EXAM 1,0,0,phv00204812,phv00204712,0,age at visit 1 phv00204712,mmol/L,1.0,1.0,1.0,1,0.0,0,1,0.0,1,* 88.57,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht012813,phv00511989,phs000280,OBA:VT0002644,"v4 triglycerides in si units [derived variable dataset, visit 4]",aric,mg/dL,ARIC EXAM 4,0,0,phv00511942,phv00511996,0,phv00511996,mmol/L,1.0,1.0,1.0,1,0.0,0,1,0.0,1,* 88.57,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht012815,phv00512246,phs000280,OBA:VT0002644,triglycerides in si units [cohort visit derived variables. derive61. visit 6],aric,mg/dL,ARIC EXAM 6,0,0,phv00512222,phv00512229,0,phv00512229,mmol/L,1.0,1.0,1.0,1,0.0,0,1,0.0,1,* 88.57,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht012814,phv00512076,phs000280,OBA:VT0002644,triglycerides in si units [cohort visit derived variables. visit 5],aric,mg/dL,ARIC EXAM 5,0,0,phv00512039,phv00512050,0,phv00512050,mmol/L,1.0,1.0,1.0,1,0.0,0,1,0.0,1,* 88.57,0,0,0.0,0,0.0
