cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
cardia,alcohol servings,phv00114308,phs000285,pht001600,drinks beer/week. q 3,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 2,phv00114304,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00118419,phs000285,pht001760,drinks beer/week. q 3,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 10,phv00118416,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00116914,phs000285,pht001712,beer and ales,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00116916,phs000285,pht001712,distilled liquor,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00118420,phs000285,pht001760,drinks liquor/week. q 4,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 10,phv00118416,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00112863,phs000285,pht001565,cordial and liqueur,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00112862,phs000285,pht001565,beer and ales,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00116948,phs000285,pht001714,drinks beer/week. q 3,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 7,phv00116945,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00116915,phs000285,pht001712,cordial and liqueur,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00112864,phs000285,pht001565,distilled liquor,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00115417,phs000285,pht001655,drinks wine/week. q 2,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 5,phv00115414,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00115419,phs000285,pht001655,drinks liquor/week. q 4,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 5,phv00115414,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00114307,phs000285,pht001600,drinks wine/week. q 2,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 2,phv00114304,,,,,,1.0,1,,0,0,,0
cardia,alcohol servings,phv00114309,phs000285,pht001600,drinks liquor/week. q 4,,,MeasurementObservation,alcohol_servings,{#}/wk,OMOP:35609491,CARDIA YEAR 2,phv00114304,,,,,,1.0,1,,0,0,,0
