cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
cardia,fruit servings,phv00116764,phs000285,pht001712,citrus fruit,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00116767,phs000285,pht001712,fried fruits,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00112713,phs000285,pht001565,fruit excluding citrus fruit,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00116765,phs000285,pht001712,fruit excluding citrus fruit,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00112712,phs000285,pht001565,citrus fruit,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00112716,phs000285,pht001565,fruit-based savory snack,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00112714,phs000285,pht001565,avocado and similar,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00116768,phs000285,pht001712,fruit-based savory snack,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00112715,phs000285,pht001565,fried fruits,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,fruit servings,phv00116766,phs000285,pht001712,avocado and similar,,,MeasurementObservation,fruit_serving,{#}/wk,OMOP:21493059,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
