cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
cardia,vegetable servings,phv00112723,phs000285,pht001565,legumes (cooked dried beans),,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116770,phs000285,pht001712,deep-yellow vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116778,phs000285,pht001712,vegetable juice,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112717,phs000285,pht001565,dark-green vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112724,phs000285,pht001565,other vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112726,phs000285,pht001565,vegetable juice,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112722,phs000285,pht001565,other starchy vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112727,phs000285,pht001565,vegetable-based savory snack,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116774,phs000285,pht001712,other starchy vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116776,phs000285,pht001712,other vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116777,phs000285,pht001712,fried vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116771,phs000285,pht001712,tomato,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116773,phs000285,pht001712,fried potatoes,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112725,phs000285,pht001565,fried vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116775,phs000285,pht001712,legumes (cooked dried beans),,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116772,phs000285,pht001712,white potatoes,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112719,phs000285,pht001565,tomato,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112721,phs000285,pht001565,fried potatoes,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116779,phs000285,pht001712,vegetable-based savory snack,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00116769,phs000285,pht001712,dark-green vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 7,phv00116761,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112720,phs000285,pht001565,white potatoes,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
cardia,vegetable servings,phv00112718,phs000285,pht001565,deep-yellow vegetables,,,MeasurementObservation,vege_serving,{#}/wk,OMOP:4042886,CARDIA YEAR 0,phv00112709,,,,,,1.0,1,,0,0,,0
