row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00113634,"pt's hgt, cm. q 1",cm,1.0,pht001583,phv00113633,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00114609,"ht, in inches",[in_us],1.0,pht001626,phv00114583,1.0,CARDIA YEAR 2,0.0,0,0,0,1.0,phv00114610,0,0,1,0,* 2.54,0,0,[in_us],cm
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00114829,subject's height standing in cm. q 1,cm,1.0,pht001632,phv00114828,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00115704,height in inches,[in_us],1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,0,1,0,* 2.54,0,0,[in_us],cm
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00115856,subject's height standing (cm). q 1,cm,1.0,pht001671,phv00115849,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00116480,patient data: height (cm),cm,1.0,pht001706,phv00116476,1.0,CARDIA YEAR 7,0.0,0,0,0,1.0,phv00116478,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00117230,subject's height standing (cm). q 1a,cm,1.0,pht001720,phv00117221,1.0,CARDIA YEAR 7,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00118136,height,cm,1.0,pht001755,phv00118039,1.0,CARDIA YEAR 10,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00118250,height,cm,1.0,pht001756,phv00118153,1.0,CARDIA YEAR 10,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00118957,height in inches,[in_us],1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,0,1,0,* 2.54,0,0,[in_us],cm
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00119093,subject's height standing (cm). q 1a,cm,1.0,pht001785,phv00119092,1.0,CARDIA YEAR 10,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00119506,height (in) - form 53,[in_us],1.0,pht001795,phv00119471,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00119507,0,0,1,0,* 2.54,0,0,[in_us],cm
1,cardia,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00120994,subject's height standing (cm). q 1a,cm,1.0,pht001857,phv00120993,1.0,CARDIA YEAR 15,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
