row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00113402,maximum fvc,L,1.0,pht001575,phv00113261,1.0,CARDIA YEAR 0,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114651,"forced vital capacity, trial #4",L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114663,"forced vital capacity, trial #5",L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114615,"forced vital capacity, trial #1",L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114627,"forced vital capacity, trial #2",L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114675,"forced vital capacity, trial #6",L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114694,maximum fvc,L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00114639,"forced vital capacity, trial #3",L,1.0,pht001627,phv00114613,1.0,CARDIA YEAR 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00115632,"forced vital capacity, trial #2",L,1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00115668,"forced vital capacity, trial #5",L,1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00115644,"forced vital capacity, trial #3",L,1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00115620,"forced vital capacity, trial #1",L,1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00115687,maximum fvc,L,1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00115656,"forced vital capacity, trial #4",L,1.0,pht001667,phv00115618,1.0,CARDIA YEAR 5,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118923,"forced vital capacity, trial #8",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118941,maximum fvc (5 trials),L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118875,"forced vital capacity, trial #4",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118839,"forced vital capacity, trial #1",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118899,"forced vital capacity, trial #6",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118863,"forced vital capacity, trial #3",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118887,"forced vital capacity, trial #5",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118851,"forced vital capacity, trial #2",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118911,"forced vital capacity, trial #7",L,1.0,pht001781,phv00118837,1.0,CARDIA YEAR 10,0.0,0,0,0,1.0,phv00118959,0,1,0,0,0,0,0,0,0
1,cardia,MeasurementObservation,fvc - forced vital capacity,fvc,1,OMOP:4176265,L,phv00118970,maximum fvc (8 trials),L,1.0,pht001782,phv00118962,1.0,CARDIA YEAR 10,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
