cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,height,phv00369962,phs000007,pht007777,"height, exam 25",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369963,phs000007,pht007777,"height, exam 26",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369961,phs000007,pht007777,"height, exam 24",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369959,phs000007,pht007777,"height, exam 22",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00423921,phs000007,pht009761,"height, exam 4",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369956,phs000007,pht007777,"height, exam 19",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00423919,phs000007,pht009761,"height, exam 2",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369958,phs000007,pht007777,"height, exam 21",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369949,phs000007,pht007777,"height, exam 12",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,height,phv00369955,phs000007,pht007777,"height, exam 18",[in_us],,MeasurementObservation,bdy_hgt,cm,OBA:VT0001253,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
