cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,body weight,phv00423946,phs000007,pht009761,"weight, exam 2",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370146,phs000007,pht007777,"weight, exam 21",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370129,phs000007,pht007777,"weight, exam 4",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370142,phs000007,pht007777,"weight, exam 17",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370126,phs000007,pht007777,"weight, exam 1",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370149,phs000007,pht007777,"weight, exam 24",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370136,phs000007,pht007777,"weight, exam 11",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370128,phs000007,pht007777,"weight, exam 3",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370141,phs000007,pht007777,"weight, exam 16",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370139,phs000007,pht007777,"weight, exam 14",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370135,phs000007,pht007777,"weight, exam 10",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370156,phs000007,pht007777,"weight, exam 31",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370145,phs000007,pht007777,"weight, exam 20",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370132,phs000007,pht007777,"weight, exam 7",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370131,phs000007,pht007777,"weight, exam 6",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370137,phs000007,pht007777,"weight, exam 12",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370154,phs000007,pht007777,"weight, exam 29",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00277055,phs000007,pht006026,"weight, exam 1",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370140,phs000007,pht007777,"weight, exam 15",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00423948,phs000007,pht009761,"weight, exam 4",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370134,phs000007,pht007777,"weight, exam 9",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00277056,phs000007,pht006026,"weight, exam 2",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370152,phs000007,pht007777,"weight, exam 27",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370143,phs000007,pht007777,"weight, exam 18",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370147,phs000007,pht007777,"weight, exam 22",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370153,phs000007,pht007777,"weight, exam 28",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370127,phs000007,pht007777,"weight, exam 2",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370133,phs000007,pht007777,"weight, exam 8",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370148,phs000007,pht007777,"weight, exam 23",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370150,phs000007,pht007777,"weight, exam 25",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
fhs,body weight,phv00370130,phs000007,pht007777,"weight, exam 5",[lb_av],,MeasurementObservation,bdy_wgt,kg,OBA:VT0001259,,,,[lb_av],kg,* 0.453592,,,1,,1,0,,0
