cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,systolic blood pressure,phv00021592,phs000007,pht000077,systolic blood pressure by doppler in left arm,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING EXAM 6,phv00021606,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00023137,phs000007,pht000138,if dorsalis pedis used: systolic blood pressure by doppler in left arm,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS ORIGINAL EXAM 23,phv00023146,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00023139,phs000007,pht000138,repeat systolic blood pressure measurement by doppler in right ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS ORIGINAL EXAM 23,phv00023146,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00520257,phs000007,pht000396,average systolic blood pressure,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00023138,phs000007,pht000138,repeat systolic blood pressure measurement by doppler in left ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS ORIGINAL EXAM 23,phv00023146,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021576,phs000007,pht000076,systolic blood pressure by doppler in left ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING COHORT EXAM 7,phv00021587,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021596,phs000007,pht000077,if dorsalis pedis used: systolic blood pressure by doppler in right ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING EXAM 6,phv00021606,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021591,phs000007,pht000077,systolic blood pressure by doppler in right arm,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING EXAM 6,phv00021606,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021597,phs000007,pht000077,if dorsalis pedis used: systolic blood pressure by doppler in left ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING EXAM 6,phv00021606,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021092,phs000007,pht000074,systolic blood pressure: physician's first reading (to nearest 2mm hg),,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS GENERATION 3 EXAM 1,phv00021427,,,,,,1.0,1,,0,0,,0
