cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,fev1 - forced expiratory volume in 1 sec,phv00055265,phs000007,pht000395,forced expiratory volume in one second (litres),L,,MeasurementObservation,fev1,L,OMOP:4241837,,,,,,,,,1,1.0,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00196549,phs000007,pht003632,forced expiratory volume at 1 second (fev1) - highest value among acceptable maneuvers,L,,MeasurementObservation,fev1,L,OMOP:4241837,,,,,,,,,1,1.0,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00257835,phs000007,pht005169,forced expiratory volume at 1 second (liters) - highest value among acceptable maneuvers,L,,MeasurementObservation,fev1,L,OMOP:4241837,,,,,,,,,1,1.0,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00257850,phs000007,pht005170,forced expiratory volume at 1 second (fev1) - highest value among acceptable maneuvers,L,,MeasurementObservation,fev1,L,OMOP:4241837,,,,,,,,,1,1.0,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00022624,phs000007,pht000103,forced expiratory volume - trial 4 in 1.0 seconds,s,,MeasurementObservation,fev1,L,OMOP:4241837,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00022598,phs000007,pht000103,forced expiratory volume - trial 1 in 1.0 seconds,s,,MeasurementObservation,fev1,L,OMOP:4241837,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00022586,phs000007,pht000103,forced expiratory volume - trial 1 in 1.0 seconds,s,,MeasurementObservation,fev1,L,OMOP:4241837,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00022652,phs000007,pht000103,forced expiratory volume - summary in 1.0 seconds,s,,MeasurementObservation,fev1,L,OMOP:4241837,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00022611,phs000007,pht000103,forced expiratory volume - trial 3 in 1.0 seconds,s,,MeasurementObservation,fev1,L,OMOP:4241837,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fev1 - forced expiratory volume in 1 sec,phv00022637,phs000007,pht000103,forced expiratory volume - trial 5 in 1.0 seconds,s,,MeasurementObservation,fev1,L,OMOP:4241837,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
