bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162176,phs000007,OMOP:21493059,ffq: grapefruit,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1/2agrapefruit,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156816,phs000007,OMOP:21493059,ffq: grapefruit,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1/2agrapefruit,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156820,phs000007,OMOP:21493059,ffq: blueberries,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156808,phs000007,OMOP:21493059,ffq: prunes,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172507,phs000007,OMOP:21493059,"ffq: blueberries, fresh, frozen or canned",fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/2cup,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156821,phs000007,OMOP:21493059,"ffq: peaches, apricots or plums",fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162179,phs000007,OMOP:21493059,ffq: strawberries,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162181,phs000007,OMOP:21493059,"ffq: peaches, apricots or plums",fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162180,phs000007,OMOP:21493059,ffq: blueberries,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162168,phs000007,OMOP:21493059,ffq: prunes,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172498,phs000007,OMOP:21493059,ffq: avocado,fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/2cup,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172509,phs000007,OMOP:21493059,"ffq: apricots ( 1 fresh, 1/2 cup canned or 5 dried)",fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/2cup,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172508,phs000007,OMOP:21493059,ffq: peaches or plums (1 fresh or 1/2 cup canned),fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/2cup,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156819,phs000007,OMOP:21493059,ffq: strawberries,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1/2cup,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172504,phs000007,OMOP:21493059,ffq: grapefruit (1/2) or grapefruit juice (small glass),fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/2ofgrapefruitorsmallglassofjuice,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172494,phs000007,OMOP:21493059,ffq: prunes or dried plums (6 prunes or 1/4 cup),fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/4cup,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156810,phs000007,OMOP:21493059,ffq: cantaloupe,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1/4melon,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172497,phs000007,OMOP:21493059,ffq: cantaloupe,fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1/4melon,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162170,phs000007,OMOP:21493059,ffq: cantaloupe,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1/4melon,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156812,phs000007,OMOP:21493059,ffq: fresh apples or pears,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1appleorpear,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162172,phs000007,OMOP:21493059,ffq: fresh apples or pears,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1appleorpear,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162169,phs000007,OMOP:21493059,ffq: bananas,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1banana,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156809,phs000007,OMOP:21493059,ffq: bananas,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1banana,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172496,phs000007,OMOP:21493059,ffq: bananas,fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1banana,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002900,phv00172499,phs000007,OMOP:21493059,ffq: fresh apples or pears,fhs,{#}/wk,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172393,phv00177932,0,use phv00173095 to get visit,1fruit,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,fruit servings,fruit_serving,pht002150,phv00156814,phs000007,OMOP:21493059,ffq: oranges,fhs,{#}/wk,FHS GENERATION 3 EXAM 1,0,0,phv00157296,phv00177930,0,0,1orange,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,fruit servings,fruit_serving,pht002350,phv00162174,phs000007,OMOP:21493059,ffq: oranges,fhs,{#}/wk,FHS OFFSPRING EXAM 8,0,0,phv00162112,phv00177944,0,0,1orange,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
