cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,fvc - forced vital capacity,phv00257853,phs000007,pht005170,forced vital capacity (fvc) - highest value among acceptable maneuvers,L,,MeasurementObservation,fvc,L,OMOP:4176265,,,,,,,,,1,1.0,0,0,,0
fhs,fvc - forced vital capacity,phv00257838,phs000007,pht005169,forced vital capacity (liters) - highest value among acceptable maneuvers,L,,MeasurementObservation,fvc,L,OMOP:4176265,,,,,,,,,1,1.0,0,0,,0
fhs,fvc - forced vital capacity,phv00196552,phs000007,pht003632,forced vital capacity (fvc) - highest value among acceptable maneuvers,L,,MeasurementObservation,fvc,L,OMOP:4176265,,,,,,,,,1,1.0,0,0,,0
fhs,fvc - forced vital capacity,phv00055266,phs000007,pht000395,forced vital capacity (litres),L,,MeasurementObservation,fvc,L,OMOP:4176265,,,,,,,,,1,1.0,0,0,,0
fhs,fvc - forced vital capacity,phv00022584,phs000007,pht000103,forced vital capacity - trial 1,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fvc - forced vital capacity,phv00022610,phs000007,pht000103,forced vital capacity - trial 3,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fvc - forced vital capacity,phv00022636,phs000007,pht000103,forced vital capacity - trial 5,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fvc - forced vital capacity,phv00002682,phs000007,pht000018,lung-function: forced vital capacity,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 16,phv00002946,,,,,,1.0,1,,0,0,,0
fhs,fvc - forced vital capacity,phv00022597,phs000007,pht000103,forced vital capacity - trial 1,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fvc - forced vital capacity,phv00022651,phs000007,pht000103,forced vital capacity - summary,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
fhs,fvc - forced vital capacity,phv00022623,phs000007,pht000103,forced vital capacity - trial 4,,,MeasurementObservation,fvc,L,OMOP:4176265,FHS ORIGINAL EXAM 19,phv00022662,,,,,,1.0,1,,0,0,,0
