cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,hdl,phv00009122,phs000007,pht000033,hdl cholesterol,,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,FHS OFFSPRING EXAM 4,phv00009127,,,,,,1.0,1,,0,0,,0
fhs,hdl,phv00010134,phs000007,pht000035,blood anaylsis - hdl cholesterol,,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,FHS OFFSPRING EXAM 6,phv00010138,,,,,,1.0,1,,0,0,,0
fhs,hdl,phv00008728,phs000007,pht000032,hdl cholesterol,,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,FHS OFFSPRING EXAM 3,phv00008743,,,,,,1.0,1,,0,0,,0
fhs,hdl,phv00369937,phs000007,pht007777,"hdl cholesterol, exam 22",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00423914,phs000007,pht009761,"hdl cholesterol, exam 1",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00055263,phs000007,pht000395,hdl cholesterol (mg/dl),mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369941,phs000007,pht007777,"hdl cholesterol, exam 26",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369943,phs000007,pht007777,"hdl cholesterol, exam 28",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00423915,phs000007,pht009761,"hdl cholesterol, exam 2",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369936,phs000007,pht007777,"hdl cholesterol, exam 20",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369942,phs000007,pht007777,"hdl cholesterol, exam 27",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00423781,phs000007,pht009755,hdl cholesterol,mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00227059,phs000007,pht004802,hdl cholesterol (sample type: edta plasma),mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369935,phs000007,pht007777,"hdl cholesterol, exam 15",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369938,phs000007,pht007777,"hdl cholesterol, exam 23",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00423917,phs000007,pht009761,"hdl cholesterol, exam 4",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00255345,phs000007,pht005143,hdl cholesterol (sample type: plasma),mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00172176,phs000007,pht002889,hdl cholesterol (sample type: plasma),mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369939,phs000007,pht007777,"hdl cholesterol, exam 24",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00277041,phs000007,pht006026,"hdl cholesterol, exam 2",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00369940,phs000007,pht007777,"hdl cholesterol, exam 25",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00277040,phs000007,pht006026,"hdl cholesterol, exam 1",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
fhs,hdl,phv00423916,phs000007,pht009761,"hdl cholesterol, exam 3",mg/dL,,MeasurementObservation,hdl,mg/dL,OBA:VT0000184,,,,,,,,,1,1.0,0,0,,0
