cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,hip circumference,phv00423923,phs000007,pht009761,"hip girth, exam 2",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00369974,phs000007,pht007777,"hip girth, exam 23",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00369973,phs000007,pht007777,"hip girth, exam 22",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00254293,phs000007,pht005140,numerical data/anthropometry: hip girth,[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00423924,phs000007,pht009761,"hip girth, exam 4",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00177545,phs000007,pht003094,anthropometry: hip girth,[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00369971,phs000007,pht007777,"hip girth, exam 20",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00277044,phs000007,pht006026,"hip girth, exam 2",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00423922,phs000007,pht009761,"hip girth, exam 1",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00369970,phs000007,pht007777,"hip girth, exam 19",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00369972,phs000007,pht007777,"hip girth, exam 21",[in_us],,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,hip circumference,phv00177546,phs000007,pht003094,anthropometry: hip girth - protocol modification,,,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,,,,,,1,,0,0,,0
fhs,hip circumference,phv00254294,phs000007,pht005140,numerical data/anthropometry: hip girth - protocol modification,,,MeasurementObservation,hip_circ,cm,OBA:1000032,,,,,,,,,1,,0,0,,0
