row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00006839,repeated chair stands: post-repeated chair stand 30 second heart rate,0,1.0,pht000028,phv00007095,1.0,FHS ORIGINAL EXAM 26,0.0,0,0,0,1.0,phv00177980,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00007263,repeated chair stands: 30 second heart rate for post-repeated chair stand,0,1.0,pht000029,phv00007534,1.0,FHS ORIGINAL EXAM 27,0.0,0,0,0,1.0,phv00177982,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008186,"heart rate-0, 1.7/0",0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008283,heart rate - 1 min.,0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008258,"heart rate- 5, 5.0/18%",0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008331,heart rate - addition.,0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008162,"heart rate-resting, sit",0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008319,heart rate - 4 min.,0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008222,"heart rate- 2, 2.5/12%",0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
0,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00008210,"heart rate-1, 1.7/10%",0,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,0,0,0,0,0,0,0
