cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,ldl,phv00008733,phs000007,pht000032,ldl,,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,FHS OFFSPRING EXAM 3,phv00008743,,,,,,1.0,1,,0,0,,0
fhs,ldl,phv00423887,phs000007,pht009761,"calculated ldl cholesterol, exam 1",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00369766,phs000007,pht007777,"calculated ldl cholesterol, exam 24",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00369769,phs000007,pht007777,"calculated ldl cholesterol, exam 27",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00423890,phs000007,pht009761,"calculated ldl cholesterol, exam 4",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00369767,phs000007,pht007777,"calculated ldl cholesterol, exam 25",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00423889,phs000007,pht009761,"calculated ldl cholesterol, exam 3",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00369768,phs000007,pht007777,"calculated ldl cholesterol, exam 26",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00423888,phs000007,pht009761,"calculated ldl cholesterol, exam 2",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00423782,phs000007,pht009755,ldl cholesterol,mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00277026,phs000007,pht006026,"calculated ldl cholesterol, exam 1",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00369770,phs000007,pht007777,"calculated ldl cholesterol, exam 28",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
fhs,ldl,phv00277027,phs000007,pht006026,"calculated ldl cholesterol, exam 2",mg/dL,,MeasurementObservation,ldl,mg/dL,OBA:VT0000181,,,,,,,,,1,1.0,0,0,,0
