cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,qrs interval,phv00008635,phs000007,pht000032,ecg: qrs interval,,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,FHS OFFSPRING EXAM 3,phv00008743,,,,,,1.0,1,,0,0,,0
fhs,qrs interval,phv00001174,phs000007,pht000010,ecg: qrs interval,,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,FHS ORIGINAL EXAM 8,phv00001187,,,,,,1.0,1,,0,0,,0
fhs,qrs interval,phv00023257,phs000007,pht000149,qrs interval,,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,,0,0,,0
fhs,qrs interval,phv00276826,phs000007,pht006018,ecg qrs duration - ii (w/calipers),ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00276827,phs000007,pht006018,ecg qrs duration - v5 (w/calipers),ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00036361,phs000007,pht000299,qrs interval cycle 1 lead ii (ms)(interval from qrs onset to qrs offset),ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00036363,phs000007,pht000299,"qrs interval cycle 1 lead v2 (ms) (interval from qrs onset to qrs offset), done on gen 3 only",ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00036362,phs000007,pht000299,qrs interval cycle 2 lead ii (ms) (interval from qrs onset to qrs offset),ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00177464,phs000007,pht003094,electrocardiograph: rates and intervals: qrs interval,ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00254208,phs000007,pht005140,electrocardiograph-part i: rates and intervals: qrs interval,ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00036364,phs000007,pht000299,"qrs interval cycle 1 lead v5 (ms) (interval from qrs onset to qrs offset), done on gen 3 only",ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
fhs,qrs interval,phv00276825,phs000007,pht006018,ecg qrs duration - automated,ms,,MeasurementObservation,qrs_ekg,ms,OBA:1001086,,,,,,,,,1,1.0,0,0,,0
