cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,sleep hours,phv00055515,phs000007,pht000395,sleep time in minutes when entire sleep was captured,,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,,0,0,,0
fhs,sleep hours,phv00055514,phs000007,pht000395,sleep time in minutes used for calculating rdi only and arousal index,,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,,0,0,,0
fhs,sleep hours,phv00057903,phs000007,pht000397,sleep time in minutes used for calculating rdi only and arousal index,,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,,0,0,,0
fhs,sleep hours,phv00057904,phs000007,pht000397,sleep time in minutes when entire sleep was captured,,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,,0,0,,0
fhs,sleep hours,phv00056473,phs000007,pht000395,total sleep time,,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,,0,0,,0
fhs,sleep hours,phv00055471,phs000007,pht000395,how many hours of sleep do you usually get at night (or your main sleep period) on weekdays or workdays?,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00055390,phs000007,pht000395,"how long did you sleep last night, # of hours",h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00254343,phs000007,pht005140,physical activity questionnaire-part 1-tech-administered: rest and activity for a typical day over the past year: sleep - number of hours that you typically sleep?,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00056652,phs000007,pht000396,weekday/workday: usual hours of sleep,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00254569,phs000007,pht005140,sleep questionnaire part 2-self administered: during the past month: how much actual sleep did you get at night: hours part of time,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00177686,phs000007,pht003094,physical activity questionnaire-technician administered: sleep - number of hours that you typically sleep.,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00055472,phs000007,pht000395,how many hours of sleep do you usually get at night (or your main sleep period) on weekends or your non-workdays?,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
fhs,sleep hours,phv00056653,phs000007,pht000396,weekend/non-workday: usual hours of sleep,h,,MeasurementObservation,sleep_duration_daily,h,OBA:2040171,,,,,,,,,1,1.0,0,0,,0
