bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000035,phv00010136,phs000007,OBA:VT0002644,blood analysis - triglycerides,fhs,mg/dL,FHS OFFSPRING EXAM 6,0,0,phv00010138,phv00177940,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000032,phv00008730,phs000007,OBA:VT0002644,triglyceride,fhs,mg/dL,FHS OFFSPRING EXAM 3,0,0,phv00008743,phv00177934,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000012,phv00001390,phs000007,OBA:VT0002644,blood analysis: triglyceride (eq/hl),fhs,mg/dL,FHS ORIGINAL EXAM 10,0,0,phv00001559,phv00177948,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000031,phv00008105,phs000007,OBA:VT0002644,triglycerides,fhs,mg/dL,FHS OFFSPRING EXAM 2,0,0,phv00008379,phv00177932,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000031,phv00007976,phs000007,OBA:VT0002644,blood analysis-fasting lipids triglyceride,fhs,mg/dL,FHS OFFSPRING EXAM 2,0,0,phv00008379,phv00177932,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000010,phv00001054,phs000007,OBA:VT0002644,"blood analysis: triglycerides, whole serum",fhs,mg/dL,FHS ORIGINAL EXAM 8,0,0,phv00001187,phv00177944,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000033,phv00009124,phs000007,OBA:VT0002644,triglyceride,fhs,mg/dL,FHS OFFSPRING EXAM 4,0,0,phv00009127,phv00177936,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht000012,phv00001402,phs000007,OBA:VT0002644,blood analysis: fasting: triglyceride,fhs,mg/dL,FHS ORIGINAL EXAM 10,0,0,phv00001559,phv00177948,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht010726,phv00462194,phs000007,OBA:VT0002644,triglycerides sample type: edta plasma,fhs,mg/dL,0,"FHS EXAM LAB ASSAYS, GENERATION 3 EXAM 3, NEW OFFSPRING SPOUSE EXAM 3, OMNI 2 EXAM 3",0,phv00462185,phv00177934,0,use phv00462186 for cohort,0,1.0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht006026,phv00520307,phs000007,OBA:VT0002644,"triglycerides (mg/dl), exam 3",fhs,mg/dL,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3",exam 3,phv00277015,0,0,visit a compound of phvs for cohort and exam number in variable description. Do manually,0,1.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
MeasurementObservation,triglycerides in blood,triglyc_bld,pht009755,phv00423783,phs000007,OBA:VT0002644,triglycerides,fhs,mg/dL,0,0,0,phv00423778,0,0,use phv00423780 to disambiguate visit,meq/L(x100),1.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
