cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,waist circumference,phv00370125,phs000007,pht007777,"waist girth, exam 23",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00423943,phs000007,pht009761,"waist girth, exam 3",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00370119,phs000007,pht007777,"waist girth, exam 4",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00370122,phs000007,pht007777,"waist girth, exam 20",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00370121,phs000007,pht007777,"waist girth, exam 19",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00370124,phs000007,pht007777,"waist girth, exam 22",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00423944,phs000007,pht009761,"waist girth, exam 4",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00277054,phs000007,pht006026,"waist girth, exam 2",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00370123,phs000007,pht007777,"waist girth, exam 21",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00370120,phs000007,pht007777,"waist girth, exam 5",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00177543,phs000007,pht003094,anthropometry: waist girth at umbilicus,[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00277053,phs000007,pht006026,"waist girth, exam 1",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00423941,phs000007,pht009761,"waist girth, exam 1",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00423942,phs000007,pht009761,"waist girth, exam 2",[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
fhs,waist circumference,phv00254291,phs000007,pht005140,numerical data/anthropometry: waist girth at umbilicus,[in_us],,MeasurementObservation,waist_circ,cm,OBA:1001085,,,,[in_us],cm,* 2.54,,,1,,1,0,,0
