row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00000680,"standing height: full inches, exam 4",[in_us],1.0,pht000009,phv00001036,0.0,0,0.0,0,FHS ORIGINAL EXAM 1-7,exam 4,0.0,0,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00000539,"height: full inches, exam 1",[in_us],1.0,pht000009,phv00001036,0.0,0,0.0,0,FHS ORIGINAL EXAM 1-7,exam 1,0.0,0,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00000744,"height: full inches, exam 5",[in_us],1.0,pht000009,phv00001036,0.0,0,0.0,0,FHS ORIGINAL EXAM 1-7,exam 5,0.0,0,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00001367,"height, to next lower quarter inch",[in_us],1.0,pht000012,phv00001559,1.0,FHS ORIGINAL EXAM 10,0.0,0,0,0,1.0,phv00177948,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00001564,"height, to next lower quarter inch",[in_us],1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00001808,"height, to next lower quarter inch",[in_us],1.0,pht000014,phv00002020,1.0,FHS ORIGINAL EXAM 12,0.0,0,0,0,1.0,phv00177952,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00002023,"height, to next lower quarter inch",[in_us],1.0,pht000015,phv00002204,1.0,FHS ORIGINAL EXAM 13,0.0,0,0,0,1.0,phv00177954,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00002207,"height, to next lower quarter inch (inches x 100; for use divide by 100)",[in_us],1.0,pht000016,phv00002425,1.0,FHS ORIGINAL EXAM 14,0.0,0,0,0,1.0,phv00177956,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00002428,"height, to next lower quarter inch (inches x 100; for use divide by 100)",[in_us],1.0,pht000017,phv00002668,1.0,FHS ORIGINAL EXAM 15,0.0,0,0,0,1.0,phv00177958,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00002671,"height, inches",[in_us],1.0,pht000018,phv00002946,1.0,FHS ORIGINAL EXAM 16,0.0,0,0,0,1.0,phv00177960,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,height,bdy_hgt,1,OBA:VT0001253,cm,phv00003245,height (inches),[in_us],1.0,pht000019,phv00003261,1.0,FHS ORIGINAL EXAM 17,0.0,0,0,0,1.0,phv00177962,0,0,1,0,* 2.54,0,0,[in_us],cm
