bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,creatinine in blood,creat_bld,pht001045,phv00081024,phs000007,OBA:2050096,creatinine,fhs,mg/dL,0,FHS ORIGINAL EXAM 20 AND EXAM 21,0,phv00081012,0,0,need to look at phv00081047 to see which is 20 and which is 21 FHS ORIGINAL EXAM 20 AND EXAM 21,mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,creatinine in blood,creat_bld,pht007777,phv00369802,phs000007,OBA:2050096,"creatinine, exam 15",fhs,mg/dL,0,0,exam 15,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,creatinine in blood,creat_bld,pht000074,phv00021396,phs000007,OBA:2050096,"creatinine, mg/dl",fhs,mg/dL,FHS GENERATION 3 EXAM 1,0,0,phv00021427,phv00177930,0,see pht003099 for ages at all exams,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,creatinine in blood,creat_bld,pht007777,phv00369803,phs000007,OBA:2050096,"creatinine, exam 20",fhs,mg/dL,0,0,exam 20,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,creatinine in blood,creat_bld,pht006011,phv00275417,phs000007,OBA:2050096,creatinine (sample type: serum),fhs,mg/dL,FHS OMNI 1 EXAM 3,0,0,phv00275410,phv00177934,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,creatinine in blood,creat_bld,pht005143,phv00255344,phs000007,OBA:2050096,creatinine (sample type: serum),fhs,mg/dL,0,"FHS NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1",0,phv00255339,phv00177930,0,use phv00255340 to disambiguate visti,mg/dL,1.0,0.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,creatinine in blood,creat_bld,pht002889,phv00172175,phs000007,OBA:2050096,creatinine (sample type: serum),fhs,mg/dL,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00172159,phv00177932,0,look at phv00172160 to disambiguate,mg/dL,1.0,0.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,creatinine in blood,creat_bld,pht000017,phv00002654,phs000007,OBA:2050096,blood analysis: creatinine,fhs,mg/dL,FHS ORIGINAL EXAM 15,0,0,phv00002668,phv00177958,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,creatinine in blood,creat_bld,pht000027,phv00006662,phs000007,OBA:2050096,blood analysis - creatinine,fhs,mg/dL,FHS ORIGINAL EXAM 25,0,0,phv00006663,phv00177978,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,creatinine in blood,creat_bld,pht006026,phv00277030,phs000007,OBA:2050096,"creatinine, exam 1",fhs,mg/dL,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3",exam 1,phv00277015,0,0,visit a compound of phvs for cohort and exam number in variable description. Do manually,mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
