row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00022556,forced expiratory volume at 1 second (liters) - best effort,L,1.0,pht000101,phv00022566,1.0,FHS OFFFSPRING EXAM 5,0.0,0,0,0,1.0,phv00177938,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00022569,forced expiratory volume at 1 second (liters) - best effort,L,1.0,pht000102,phv00022579,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00022665,forced expiratory volume at 1 second (liters) - best effort,L,1.0,pht000104,phv00022675,1.0,FHS OFFSPRING EXAM 6,0.0,0,0,0,1.0,phv00177940,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00022679,forced expiratory volume at 1 second (liters) - best effort,L,1.0,pht000105,phv00022687,1.0,FHS OFFSPRING EXAM 3,0.0,0,0,0,1.0,phv00177934,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00022690,forced expiratory volume at 1 second (liters) - best effort,L,1.0,pht000106,phv00022700,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00055265,forced expiratory volume in one second (litres),L,1.0,pht000395,phv00056635,1.0,FHS SLEEP HEART HEALTH STUDY (SHHS) BASELINE,0.0,0,0,0,0.0,0,"this is a weird one. The SHHS dataset is a derived dataset that uses previously collected measurements from other FHS tables, plus adds some new ones. Age and visit are both obscured by the derivation",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00073829,forced expiratory volume at 1 second - highest value among acceptable maneuvers,L,1.0,pht000832,phv00073843,1.0,FHS OFFSPRING EXAM 8,0.0,0,0,0,1.0,phv00177944,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00196549,forced expiratory volume at 1 second (fev1) - highest value among acceptable maneuvers,L,1.0,pht003632,phv00196546,0.0,0,0.0,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,1.0,phv00177932,use phv00196547 to disambiguate visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00257835,forced expiratory volume at 1 second (liters) - highest value among acceptable maneuvers,L,1.0,pht005169,phv00257829,0.0,0,0.0,0,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",0,0.0,0,use phv00257830 to disambiguate visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,fev1 - forced expiratory volume in 1 sec,fev1,1,OMOP:4241837,L,phv00257850,forced expiratory volume at 1 second (fev1) - highest value among acceptable maneuvers,L,1.0,pht005170,phv00257846,0.0,0,0.0,0,"FHS NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1",0,1.0,phv00177930,use phv00257848 to disambiguate visit,1,0,0,0,0,0,0,0
