bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,fvc - forced vital capacity,fvc,pht000105,phv00022678,phs000007,OMOP:4176265,forced vital capacity - best effort (liters),fhs,L,FHS OFFSPRING EXAM 3,0,0,phv00022687,phv00177934,0,0,L,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht005170,phv00257853,phs000007,OMOP:4176265,forced vital capacity (fvc) - highest value among acceptable maneuvers,fhs,L,0,"FHS NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1",0,phv00257846,phv00177930,0,use phv00257848 to disambiguate visit,L,1.0,0.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht005169,phv00257838,phs000007,OMOP:4176265,forced vital capacity (liters) - highest value among acceptable maneuvers,fhs,L,0,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",0,phv00257829,0,0,use phv00257830 to disambiguate visit,L,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000106,phv00022689,phs000007,OMOP:4176265,forced vital capacity - best effort (liters),fhs,L,FHS OFFSPRING EXAM 7,0,0,phv00022700,phv00177942,0,0,L,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht003632,phv00196552,phs000007,OMOP:4176265,forced vital capacity (fvc) - highest value among acceptable maneuvers,fhs,L,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",0,phv00196546,phv00177932,0,use phv00196547 to disambiguate visit,L,1.0,0.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000101,phv00022555,phs000007,OMOP:4176265,forced vital capacity - best effort (liters),fhs,L,FHS OFFFSPRING EXAM 5,0,0,phv00022566,phv00177938,0,0,L,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000102,phv00022571,phs000007,OMOP:4176265,forced vital capacity - best effort (liters),fhs,L,FHS GENERATION 3 EXAM 1,0,0,phv00022579,phv00177930,0,0,L,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000832,phv00073832,phs000007,OMOP:4176265,forced vital capacity - highest value among acceptable maneuvers,fhs,L,FHS OFFSPRING EXAM 8,0,0,phv00073843,phv00177944,0,0,L,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000395,phv00055266,phs000007,OMOP:4176265,forced vital capacity (litres),fhs,L,FHS SLEEP HEART HEALTH STUDY (SHHS) BASELINE,0,0,phv00056635,0,0,"this is a weird one. The SHHS dataset is a derived dataset that uses previously collected measurements from other FHS tables, plus adds some new ones. Age and visit are both obscured by the derivation",L,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000104,phv00022664,phs000007,OMOP:4176265,forced vital capacity - best effort (liters),fhs,L,FHS OFFSPRING EXAM 6,0,0,phv00022675,phv00177940,0,0,L,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,fvc - forced vital capacity,fvc,pht000019,phv00003249,phs000007,OMOP:4176265,lung-function: forced vital capacity,fhs,L,FHS ORIGINAL EXAM 17,0,0,phv00003261,phv00177962,0,0,dL,1.0,1.0,1.0,1,0.0,1,0,0.0,1,/ 10,dL,L,0.0,0,0.0
