row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00004081,blood analysis-glucose,mg/dL,1.0,pht000021,phv00004083,1.0,FHS ORIGINAL EXAM 19,0.0,0,0,0,1.0,phv00177966,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00004517,blood analysis - glucose,mg/dL,1.0,pht000022,phv00004525,1.0,FHS ORIGINAL EXAM 20,0.0,0,0,0,1.0,phv00177968,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00004937,blood analysis - glucose,mg/dL,1.0,pht000023,phv00004939,1.0,FHS ORIGINAL EXAM 21,0.0,0,0,0,1.0,phv00177970,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00005550,blood analysis - glucose (non-fasting),mg/dL,1.0,pht000024,phv00005557,1.0,FHS ORIGINAL EXAM 22,0.0,0,0,0,1.0,phv00177972,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00006026,blood analysis - glucose - (non-fasting),mg/dL,1.0,pht000025,phv00006030,1.0,FHS ORIGINAL EXAM 23,0.0,0,0,0,1.0,phv00177974,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00006666,glucose mg/100ml,mg/dL,1.0,pht000028,phv00007095,1.0,FHS ORIGINAL EXAM 26,0.0,0,0,0,1.0,phv00177980,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00007527,glucose mg/100ml,mg/dL,1.0,pht000029,phv00007534,1.0,FHS ORIGINAL EXAM 27,0.0,0,0,0,1.0,phv00177982,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00007558,glucose,mg/dL,1.0,pht000030,phv00007675,1.0,FHS OFFSPRING EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00009577,blood analysis - glucose - baseline,mg/dL,1.0,pht000034,phv00009579,1.0,FHS OFFSPRING EXAM 5,0.0,0,0,0,1.0,phv00177938,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00010143,glucose mg/100ml,mg/dL,1.0,pht000036,phv00010694,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00080789,"blood glucose, exam 8",mg/dL,1.0,pht000040,phv00010783,0.0,0,0.0,0,FHS ORIGINAL EXAM 1-28,exam 8,0.0,0,will need to look in variable description for specific exam,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,glucose in blood,glucose_bld,1,OBA:VT0000188,mg/dL,phv00080790,"blood glucose, exam 9",mg/dL,1.0,pht000040,phv00010783,0.0,0,0.0,0,FHS ORIGINAL EXAM 1-28,exam 9,0.0,0,will need to look in variable description for specific exam,1,0,0,0,0,0,0,0
