bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,hdl,hdl,pht000395,phv00055263,phs000007,OBA:VT0000184,hdl cholesterol (mg/dl),fhs,mg/dL,FHS SLEEP HEART HEALTH STUDY (SHHS) BASELINE,0,0,phv00056635,0,0,"this is a weird one. The SHHS dataset is a derived dataset that uses previously collected measurements from other FHS tables, plus adds some new ones. Age and visit are both obscured by the derivation",mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht004802,phv00227059,phs000007,OBA:VT0000184,hdl cholesterol (sample type: edta plasma),fhs,mg/dL,0,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",0,phv00227023,0,0,look at phv00227024 to pick the visit,mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,1.0
MeasurementObservation,hdl,hdl,pht000030,phv00007537,phs000007,OBA:VT0000184,hdl cholestrol,fhs,mg/dL,FHS OFFSPRING EXAM 1,0,0,phv00007675,phv00177930,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht000026,phv00006320,phs000007,OBA:VT0000184,hdl cholesterol,fhs,mg/dL,FHS ORIGINAL EXAM 24,0,0,phv00006325,phv00177976,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht000013,phv00001582,phs000007,OBA:VT0000184,"blood analysis, fasting: alpha cholesterol (see variable #40 for deck 132 cholesterol values recorded in serum or plasma units.)",fhs,mg/dL,FHS ORIGINAL EXAM 11,0,0,phv00001803,phv00177950,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht007777,phv00369938,phs000007,OBA:VT0000184,"hdl cholesterol, exam 23",fhs,mg/dL,0,0,exam 23,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht000022,phv00004519,phs000007,OBA:VT0000184,blood analysis - hdl cholesterol,fhs,mg/dL,FHS ORIGINAL EXAM 20,0,0,phv00004525,phv00177968,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht009761,phv00423916,phs000007,OBA:VT0000184,"hdl cholesterol, exam 3",fhs,mg/dL,0,0,exam 3,phv00423868,0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",mg/dL,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht000034,phv00009574,phs000007,OBA:VT0000184,blood analysis - hdl cholesterol,fhs,mg/dL,FHS OFFSPRING EXAM 5,0,0,phv00009579,phv00177938,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,hdl,hdl,pht000024,phv00005552,phs000007,OBA:VT0000184,blood analysis - hdl cholesterol,fhs,mg/dL,FHS ORIGINAL EXAM 22,0,0,phv00005557,phv00177972,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
