bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,hip circumference,hip_circ,pht004814,phv00251066,phs000007,OBA:1000032,numerical data - part i - regional anthropometry: hip girth (to next lower 1/4 inch),fhs,cm,FHS OMNI 1 EXAM 2,0,0,phv00250718,phv00177932,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000023,phv00004531,phs000007,OBA:1000032,hip girth (inches with 2 decimals),fhs,cm,FHS ORIGINAL EXAM 21,0,0,phv00004939,phv00177970,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000036,phv00010503,phs000007,OBA:1000032,regional anthropometry - hip girth (inches) (to next lower 1/4 inch),fhs,cm,FHS OFFSPRING EXAM 7,0,0,phv00010694,phv00177942,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000021,phv00003673,phs000007,OBA:1000032,hip girth,fhs,cm,FHS ORIGINAL EXAM 19,0,0,phv00004083,phv00177966,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht009761,phv00423924,phs000007,OBA:1000032,"hip girth, exam 4",fhs,cm,0,0,exam 4,phv00423868,0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht007777,phv00369972,phs000007,OBA:1000032,"hip girth, exam 21",fhs,cm,0,0,exam 21,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht005140,phv00254293,phs000007,OBA:1000032,numerical data/anthropometry: hip girth,fhs,cm,0,"case(({phv00254011} == ''1'', ''FHS Offspring Exam 9''), ({phv00254011} == ''7'', ''FHS Omni 1 Exam 4''), (True, ''FHS UNKNOWN VISIT'')))",0,phv00254010,0,0,look at phv00254011 to disambiguate visit,[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,1.0
MeasurementObservation,hip circumference,hip_circ,pht000024,phv00005545,phs000007,OBA:1000032,"hip girth (inches, to next lower 1/4 inch)",fhs,cm,FHS ORIGINAL EXAM 22,0,0,phv00005557,phv00177972,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht007777,phv00369973,phs000007,OBA:1000032,"hip girth, exam 22",fhs,cm,0,0,exam 22,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000022,phv00004089,phs000007,OBA:1000032,hip girth (inches with 2 decimals),fhs,cm,FHS ORIGINAL EXAM 20,0,0,phv00004525,phv00177968,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht009761,phv00423922,phs000007,OBA:1000032,"hip girth, exam 1",fhs,cm,0,0,exam 1,phv00423868,0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000035,phv00010113,phs000007,OBA:1000032,"hip girth (inches, to next lower 1/4 inch)",fhs,cm,FHS OFFSPRING EXAM 6,0,0,phv00010138,phv00177940,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000034,phv00009556,phs000007,OBA:1000032,"hip girth (inches, to next lower 1/4 inch)",fhs,cm,FHS OFFSPRING EXAM 5,0,0,phv00009579,phv00177938,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000033,phv00008768,phs000007,OBA:1000032,hip girth (inches with 2 decimals),fhs,cm,FHS OFFSPRING EXAM 4,0,0,phv00009127,phv00177936,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht007777,phv00369974,phs000007,OBA:1000032,"hip girth, exam 23",fhs,cm,0,0,exam 23,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht000025,phv00005925,phs000007,OBA:1000032,"hip girth (inches, to next lower 1/4 inch)",fhs,cm,FHS ORIGINAL EXAM 23,0,0,phv00006030,phv00177974,0,0,[in_us],1.0,1.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht007777,phv00369971,phs000007,OBA:1000032,"hip girth, exam 20",fhs,cm,0,0,exam 20,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht009761,phv00423923,phs000007,OBA:1000032,"hip girth, exam 2",fhs,cm,0,0,exam 2,phv00423868,0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht006026,phv00277044,phs000007,OBA:1000032,"hip girth, exam 2",fhs,cm,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3",exam 2,phv00277015,0,0,visit a compound of phvs for cohort and exam number in variable description. Do manually,[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,1.0
MeasurementObservation,hip circumference,hip_circ,pht007777,phv00369970,phs000007,OBA:1000032,"hip girth, exam 19",fhs,cm,0,0,exam 19,phv00369651,0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",[in_us],1.0,0.0,0.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,0.0
MeasurementObservation,hip circumference,hip_circ,pht003094,phv00177545,phs000007,OBA:1000032,anthropometry: hip girth,fhs,cm,0,"case(({phv00177238} == ''2'', ''FHS New Offspring Spouse Exam 2''), ({phv00177238} == ''3'', ''FHS Generation 3 Exam 2''), ({phv00177238} == ''72'', ''FHS OMNI 2 EXAM 2''), (True, ''FHS UNKNOWN VISIT'')))",0,phv00177237,phv00177932,0,look at phv00177238 to pick the visit,[in_us],1.0,0.0,1.0,1,0.0,1,0,0.0,1,* 2.54,[in_us],cm,0.0,0,1.0
