row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024411,heart rate (bpm),{beats}/min,1.0,pht000194,phv00024437,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024409,heart rate - deflation (bpm),{beats}/min,1.0,pht000194,phv00024437,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024410,heart rate (bpm),{beats}/min,1.0,pht000194,phv00024437,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024408,heart rate - baseline (bpm),{beats}/min,1.0,pht000194,phv00024437,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024478,heart rate (bpm) (from machine),{beats}/min,1.0,pht000195,phv00024510,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024477,heart rate (bpm) (from machine),{beats}/min,1.0,pht000195,phv00024510,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024494,heart rate - deflation (bpm),{beats}/min,1.0,pht000195,phv00024510,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024486,heart rate - baseline (bpm),{beats}/min,1.0,pht000195,phv00024510,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024534,heart rate,{beats}/min,1.0,pht000196,phv00024536,1.0,FHS CARDIAC MRI LEFT VENTRICULAR HYPERTROPHY,0.0,0,0,0,0.0,0,Use phv00024511 to pick cohort,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024549,hrv spectral mean heart rate (beats per minute),{beats}/min,1.0,pht000197,phv00024558,0.0,0,1.0,FHS Heart Rate Variability,0,0,0.0,0,use phv00024555 & phv00024556 to pick the cohort and visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,heart rate,hrtrt,1,OBA:1001087,{beats}/min,phv00024797,heart rate - deflation flow (bpm),{beats}/min,1.0,pht000209,phv00024802,0.0,0,0.0,0,"FHS OFFSPRING EXAM 7, OMNI 1 EXAM 2",0,0.0,0,look at phv00024759 to pick the visit,1,0,0,0,0,0,0,0
