row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00001584,"blood analysis, fasting: beta cholesterol (see variable #40 for deck 132 cholesterol values recorded in serum or plasma units.)",mg/dL,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00001591,"blood analysis: fasting lipids, cholesterol - beta (see variable #47 for deck 141 cholesterol values recorded in serum or plasma units.)",mg/dL,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00007539,ldl cholesterol,mg/dL,1.0,pht000030,phv00007675,1.0,FHS OFFSPRING EXAM 1,0.0,0,0,0,1.0,phv00177930,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00007975,blood analysis-fasting lipids ldl cholesterol,mg/dL,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00277027,"calculated ldl cholesterol, exam 2",mg/dL,1.0,pht006026,phv00277015,0.0,0,0.0,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3",exam 2,0.0,0,visit a compound of phvs for cohort and exam number in variable description. Do manually,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00277026,"calculated ldl cholesterol, exam 1",mg/dL,1.0,pht006026,phv00277015,0.0,0,0.0,0,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3",exam 1,0.0,0,visit a compound of phvs for cohort and exam number in variable description. Do manually,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00369766,"calculated ldl cholesterol, exam 24",mg/dL,1.0,pht007777,phv00369651,0.0,0,0.0,0,FHS ORIGINAL,exam 24,0.0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00369768,"calculated ldl cholesterol, exam 26",mg/dL,1.0,pht007777,phv00369651,0.0,0,0.0,0,FHS ORIGINAL,exam 26,0.0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00369767,"calculated ldl cholesterol, exam 25",mg/dL,1.0,pht007777,phv00369651,0.0,0,0.0,0,FHS ORIGINAL,exam 25,0.0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00369770,"calculated ldl cholesterol, exam 28",mg/dL,1.0,pht007777,phv00369651,0.0,0,0.0,0,FHS ORIGINAL,exam 28,0.0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00369769,"calculated ldl cholesterol, exam 27",mg/dL,1.0,pht007777,phv00369651,0.0,0,0.0,0,FHS ORIGINAL,exam 27,0.0,0,"will need to look in variable description for exam, and find separate variables for age at each exam",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00423782,ldl cholesterol,mg/dL,1.0,pht009755,phv00423778,0.0,0,0.0,0,0,0,0.0,0,use phv00423780 to disambiguate visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00423890,"calculated ldl cholesterol, exam 4",mg/dL,1.0,pht009761,phv00423868,0.0,0,0.0,0,0,exam 4,0.0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00423887,"calculated ldl cholesterol, exam 1",mg/dL,1.0,pht009761,phv00423868,0.0,0,0.0,0,0,exam 1,0.0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00423889,"calculated ldl cholesterol, exam 3",mg/dL,1.0,pht009761,phv00423868,0.0,0,0.0,0,0,exam 3,0.0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,ldl,ldl,1,OBA:VT0000181,mg/dL,phv00423888,"calculated ldl cholesterol, exam 2",mg/dL,1.0,pht009761,phv00423868,0.0,0,0.0,0,0,exam 2,0.0,0,"will need to look in variable description for specific exam, look at phv00423869 for cohort",1,0,0,0,0,0,0,0
