row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00001526,ecg: qrs interval,cs,1.0,pht000012,phv00001559,1.0,FHS ORIGINAL EXAM 10,0.0,0,0,0,1.0,phv00177948,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00001717,ecg: qrs interval,cs,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00001978,ecg: qrs interval,cs,1.0,pht000014,phv00002020,1.0,FHS ORIGINAL EXAM 12,0.0,0,0,0,1.0,phv00177952,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00002158,ecg: qrs interval,cs,1.0,pht000015,phv00002204,1.0,FHS ORIGINAL EXAM 13,0.0,0,0,0,1.0,phv00177954,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00002353,ecg: qrs interval,cs,1.0,pht000016,phv00002425,1.0,FHS ORIGINAL EXAM 14,0.0,0,0,0,1.0,phv00177956,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00002593,ecg: qrs interval,cs,1.0,pht000017,phv00002668,1.0,FHS ORIGINAL EXAM 15,0.0,0,0,0,1.0,phv00177958,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00002801,ecg: qrs interval,cs,1.0,pht000018,phv00002946,1.0,FHS ORIGINAL EXAM 16,0.0,0,0,0,1.0,phv00177960,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00003180,ecg: qrs interval,cs,1.0,pht000019,phv00003261,1.0,FHS ORIGINAL EXAM 17,0.0,0,0,0,1.0,phv00177962,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00003595,ecg: qrs interval,cs,1.0,pht000020,phv00003667,1.0,FHS ORIGINAL EXAM 18,0.0,0,0,0,1.0,phv00177964,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00004003,ecg: qrs interval (hundredths of second),cs,1.0,pht000021,phv00004083,1.0,FHS ORIGINAL EXAM 19,0.0,0,0,0,1.0,phv00177966,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00004427,ecg: qrs interval (hundredths of second),cs,1.0,pht000022,phv00004525,1.0,FHS ORIGINAL EXAM 20,0.0,0,0,0,1.0,phv00177968,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00004869,ecg: qrs interval (hundredths of second),cs,1.0,pht000023,phv00004939,1.0,FHS ORIGINAL EXAM 21,0.0,0,0,0,1.0,phv00177970,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00005233,ecg: qrs interval (hundredths of second),cs,1.0,pht000024,phv00005557,1.0,FHS ORIGINAL EXAM 22,0.0,0,0,0,1.0,phv00177972,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00005860,ecg: qrs interval (hundredths of second),cs,1.0,pht000025,phv00006030,1.0,FHS ORIGINAL EXAM 23,0.0,0,0,0,1.0,phv00177974,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00006219,ecg - qrs interval (hundredths of second),cs,1.0,pht000026,phv00006325,1.0,FHS ORIGINAL EXAM 24,0.0,0,0,0,1.0,phv00177976,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00006217,ecg - qrs interval (hundredths of second),cs,1.0,pht000026,phv00006325,1.0,FHS ORIGINAL EXAM 24,0.0,0,0,0,1.0,phv00177976,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00006612,ecg - qrs interval (hundredths of a second),cs,1.0,pht000027,phv00006663,1.0,FHS ORIGINAL EXAM 25,0.0,0,0,0,1.0,phv00177978,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00007046,ecg: qrs interval (hundredths of a second),cs,1.0,pht000028,phv00007095,1.0,FHS ORIGINAL EXAM 26,0.0,0,0,0,1.0,phv00177980,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00007481,ecg rates and intervals: qrs interval (hundredths of a second),cs,1.0,pht000029,phv00007534,1.0,FHS ORIGINAL EXAM 27,0.0,0,0,0,1.0,phv00177982,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00007649,qrs interval,cs,1.0,pht000030,phv00007675,1.0,FHS OFFSPRING EXAM 1,0.0,0,0,0,1.0,phv00177930,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00007889,ecg: qrs interval,cs,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qrs interval,qrs_ekg,1,OBA:1001086,ms,phv00009031,ecg: qrs interval (hundredths of second),cs,1.0,pht000033,phv00009127,1.0,FHS OFFSPRING EXAM 4,0.0,0,0,0,1.0,phv00177936,0,0,1,0,* 10,0,0,cs,ms
