row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00001979,ecg: qt interval,cs,1.0,pht000014,phv00002020,1.0,FHS ORIGINAL EXAM 12,0.0,0,0,0,1.0,phv00177952,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00002159,ecg: qt interval,cs,1.0,pht000015,phv00002204,1.0,FHS ORIGINAL EXAM 13,0.0,0,0,0,1.0,phv00177954,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00002354,ecg: qt interval,cs,1.0,pht000016,phv00002425,1.0,FHS ORIGINAL EXAM 14,0.0,0,0,0,1.0,phv00177956,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00002594,ecg: qt interval,cs,1.0,pht000017,phv00002668,1.0,FHS ORIGINAL EXAM 15,0.0,0,0,0,1.0,phv00177958,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00003596,ecg: qt interval,cs,1.0,pht000020,phv00003667,1.0,FHS ORIGINAL EXAM 18,0.0,0,0,0,1.0,phv00177964,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00007650,qt interval,cs,1.0,pht000030,phv00007675,1.0,FHS OFFSPRING EXAM 1,0.0,0,0,0,1.0,phv00177930,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00007890,ecg: qt interval,cs,1.0,pht000031,phv00008379,1.0,FHS OFFSPRING EXAM 2,0.0,0,0,0,1.0,phv00177932,0,0,1,0,* 10,0,0,cs,ms
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00036354,qt interval cycle 2 lead ii (ms) (interval from qrs onset to t-wave offset),ms,1.0,pht000299,phv00036379,0.0,0,0.0,0,"FHS ORIGINAL EXAM 11, OFFSPRING EXAM 1, GENERATION 3 EXAM 1",0,0.0,0,need to look at phv00036348 to get visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00036355,qt interval cycle 1 lead v2 (ms) (interval from qrs onset to t-wave offset),ms,1.0,pht000299,phv00036379,0.0,0,0.0,0,"FHS ORIGINAL EXAM 11, OFFSPRING EXAM 1, GENERATION 3 EXAM 1",0,0.0,0,need to look at phv00036348 to get visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00036356,qt interval cycle 1 lead v5 (ms) (interval from qrs onset to t-wave offset),ms,1.0,pht000299,phv00036379,0.0,0,0.0,0,"FHS ORIGINAL EXAM 11, OFFSPRING EXAM 1, GENERATION 3 EXAM 1",0,0.0,0,need to look at phv00036348 to get visit,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00036353,qt interval cycle 1 lead ii (ms) (interval from qrs onset to t-wave offset),ms,1.0,pht000299,phv00036379,0.0,0,0.0,0,"FHS ORIGINAL EXAM 11, OFFSPRING EXAM 1, GENERATION 3 EXAM 1",0,0.0,0,need to look at phv00036348 to get visit,1,0,0,0,0,0,0,0
