row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00001380,blood analysis: total cholesterol (mg/100 ml),mg/dL,1.0,pht000012,phv00001559,1.0,FHS ORIGINAL EXAM 10,0.0,0,0,0,1.0,phv00177948,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00001398,"blood analysis, fasting: total cholesterol (mg/100 ml)",mg/dL,1.0,pht000012,phv00001559,1.0,FHS ORIGINAL EXAM 10,0.0,0,0,0,1.0,phv00177948,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00001586,"blood analysis: fasting lipids, cholesterol - total serum & plasma (see variable #47 for deck 141 cholesterol values recorded in serum or plasma units.)",mg/dL,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00001581,"blood analysis, fasting: total cholesterol serum & plasma (see variable #40 for deck 132 cholesterol values recorded in serum or plasma units.)",mg/dL,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00004518,blood analysis - total cholesterol,mg/dL,1.0,pht000022,phv00004525,1.0,FHS ORIGINAL EXAM 20,0.0,0,0,0,1.0,phv00177968,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00005551,blood analysis - total cholesterol,mg/dL,1.0,pht000024,phv00005557,1.0,FHS ORIGINAL EXAM 22,0.0,0,0,0,1.0,phv00177972,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00006319,total cholesterol,mg/dL,1.0,pht000026,phv00006325,1.0,FHS ORIGINAL EXAM 24,0.0,0,0,0,1.0,phv00177976,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00006659,blood analysys - total cholesterol,mg/dL,1.0,pht000027,phv00006663,1.0,FHS ORIGINAL EXAM 25,0.0,0,0,0,1.0,phv00177978,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00006668,total cholesterol mg/100ml,mg/dL,1.0,pht000028,phv00007095,1.0,FHS ORIGINAL EXAM 26,0.0,0,0,0,1.0,phv00177980,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,total cholesterol in blood,tot_chol_bld,1,OBA:VT0000180,mg/dL,phv00007529,total cholesterol mg/100ml,mg/dL,1.0,pht000029,phv00007534,1.0,FHS ORIGINAL EXAM 27,0.0,0,0,0,1.0,phv00177982,0,1,0,0,0,0,0,0,0
