bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,vegetable servings,vege_serving,pht000682,phv00069058,phs000007,OMOP:4042886,derived field: servings per week - tomato juice,fhs,{#}/wk,FHS OFFSPRING EXAM 7,0,0,phv00069162,phv00177942,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht002151,phv00157642,phs000007,OMOP:4042886,"derived field: servings per week - carrots, raw",fhs,{#}/wk,FHS ORIGINAL EXAM 20,0,0,phv00157771,phv00177968,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht000682,phv00069073,phs000007,OMOP:4042886,derived field: servings per week - winter squash,fhs,{#}/wk,FHS OFFSPRING EXAM 7,0,0,phv00069162,phv00177942,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht000681,phv00068495,phs000007,OMOP:4042886,derived field: servings per week - cabbage/cole slaw,fhs,{#}/wk,FHS OFFSPRING EXAM 6,0,0,phv00068713,phv00177940,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht000681,phv00068499,phs000007,OMOP:4042886,"derived field: servings per week - carrots, cooked",fhs,{#}/wk,FHS OFFSPRING EXAM 6,0,0,phv00068713,phv00177940,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht002151,phv00157641,phs000007,OMOP:4042886,derived field: servings per week - brussels sprouts,fhs,{#}/wk,FHS ORIGINAL EXAM 20,0,0,phv00157771,phv00177968,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht000681,phv00068509,phs000007,OMOP:4042886,derived field: servings per week - kale/mustard/chard,fhs,{#}/wk,FHS OFFSPRING EXAM 6,0,0,phv00068713,phv00177940,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht000681,phv00068505,phs000007,OMOP:4042886,derived field: servings per week - summer squash,fhs,{#}/wk,FHS OFFSPRING EXAM 6,0,0,phv00068713,phv00177940,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht000682,phv00069068,phs000007,OMOP:4042886,"derived field: servings per week - carrots, cooked",fhs,{#}/wk,FHS OFFSPRING EXAM 7,0,0,phv00069162,phv00177942,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,vegetable servings,vege_serving,pht002151,phv00157659,phs000007,OMOP:4042886,derived field: servings per week - garlic,fhs,{#}/wk,FHS ORIGINAL EXAM 20,0,0,phv00157771,phv00177968,0,0,{#}/wk,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
