row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00003672,waist girth,[in_us],1.0,pht000021,phv00004083,1.0,FHS ORIGINAL EXAM 19,0.0,0,0,0,1.0,phv00177966,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00004088,waist girth (inches with 2 decimals),[in_us],1.0,pht000022,phv00004525,1.0,FHS ORIGINAL EXAM 20,0.0,0,0,0,1.0,phv00177968,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00004530,waist girth (inches with 2 decimals),[in_us],1.0,pht000023,phv00004939,1.0,FHS ORIGINAL EXAM 21,0.0,0,0,0,1.0,phv00177970,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00005544,"waist girth (inches, to next lower 1/4 inch)",[in_us],1.0,pht000024,phv00005557,1.0,FHS ORIGINAL EXAM 22,0.0,0,0,0,1.0,phv00177972,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00005924,"waist girth (inches, to next lower 1/4 inch)",[in_us],1.0,pht000025,phv00006030,1.0,FHS ORIGINAL EXAM 23,0.0,0,0,0,1.0,phv00177974,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00008767,waist girth (inches with 2 decimals),[in_us],1.0,pht000033,phv00009127,1.0,FHS OFFSPRING EXAM 4,0.0,0,0,0,1.0,phv00177936,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00009555,"waist girth (inches, to next lower 1/4 inch)",[in_us],1.0,pht000034,phv00009579,1.0,FHS OFFSPRING EXAM 5,0.0,0,0,0,1.0,phv00177938,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00010112,"waist girth (inches, to next lower 1/4 inch)",[in_us],1.0,pht000035,phv00010138,1.0,FHS OFFSPRING EXAM 6,0.0,0,0,0,1.0,phv00177940,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00010502,regional anthropometry - waist girth (inches) (to next lower 1/4 inch),[in_us],1.0,pht000036,phv00010694,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00021235,"waist girth (inches, to next lower 1/4 inch)",[in_us],1.0,pht000074,phv00021427,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,see pht003099 for ages at all exams,0,1,0,* 2.54,0,0,[in_us],cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00023150,"waist circumference, mm",mm,1.0,pht000139,phv00023157,1.0,FHS OFFSPRING EXAM 7,0.0,0,0,0,1.0,phv00177942,0,0,1,0,/ 10,0,0,mm,cm
1,fhs,MeasurementObservation,waist circumference,waist_circ,1,OBA:1001085,cm,phv00023159,"waist circumference, mm",mm,1.0,pht000140,phv00023166,1.0,FHS GENERATION 3 EXAM 1,0.0,0,0,0,1.0,phv00177930,0,0,1,0,/ 10,0,0,mm,cm
