row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00124609,diastolic blood pressure [visit 1],mm[Hg],1.0,pht001922,phv00124604,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125892,13b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125894,13d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125889,12d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125897,14b. correlation using t-tube connector. sphygmomanometer (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125872,9b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125882,11b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125874,9d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125899,14d. correlation using t-tube connector. ambulatory monitor (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125877,10b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125887,12b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125884,11d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125898,14c. correlation using t-tube connector. ambulatory monitor (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00125879,10d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],1.0,pht001941,phv00125864,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00128371,"q14. d. first blood pressure measurement. diastolic (first bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1.0,pht001974,phv00128355,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00128374,"q17. e. second blood pressure measurement. diastolic (second bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1.0,pht001974,phv00128355,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00128377,"q20. e. second blood pressure measurement. diastolic (computed net average) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],1.0,pht001974,phv00128355,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
