bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,ldl,ldl,pht008730,phv00401320,phs000286,OBA:VT0000181,fasting ldl cholesterol level (mg/dl),jhs,mg/dL,JHS EXAM 2,0,0,phv00401273,phv00401282,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008792,phv00404256,phs000286,OBA:VT0000181,ldl3-c,jhs,mg/dL,JHS LAB DATA,0,0,phv00404241,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008792,phv00404258,phs000286,OBA:VT0000181,ldl1-c,jhs,mg/dL,JHS LAB DATA,0,0,phv00404241,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008792,phv00404249,phs000286,OBA:VT0000181,ldl-real,jhs,mg/dL,JHS LAB DATA,0,0,phv00404241,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008792,phv00404255,phs000286,OBA:VT0000181,ldl4-c,jhs,mg/dL,JHS LAB DATA,0,0,phv00404241,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008792,phv00404257,phs000286,OBA:VT0000181,ldl2-c,jhs,mg/dL,JHS LAB DATA,0,0,phv00404241,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008734,phv00401578,phs000286,OBA:VT0000181,fasting ldl cholesterol level (mg/dl),jhs,mg/dL,JHS EXAM 3,0,0,phv00401565,phv00401572,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008729,phv00401134,phs000286,OBA:VT0000181,fasting ldl cholesterol level (mg/dl),jhs,mg/dL,JHS EXAM 1,0,0,phv00401078,phv00401085,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008792,phv00404248,phs000286,OBA:VT0000181,ldl-c,jhs,mg/dL,JHS LAB DATA,0,0,phv00404241,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008731,phv00401425,phs000286,OBA:VT0000181,fasting ldl cholesterol level (mg/dl),jhs,mg/dL,JHS EXAM 3,0,0,phv00401370,phv00401379,0,0,mg/dL,1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008742,phv00401738,phs000286,OBA:VT0000181,ldlc: ldl cholesterol - mg/dl,jhs,mg/dL,JHS EXAM 1,0,0,phv00401725,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,ldl,ldl,pht008748,phv00402742,phs000286,OBA:VT0000181,"q9. c. lipids. ldl [visit 6] [finger stick, fst]",jhs,mg/dL,JHS EXAM 6,0,0,phv00402732,0,0,0,mg/dL,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
