bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,pr interval,pr_ekg,pht008746,phv00402211,phs000286,OMOP:4274406,prduravr - pr duration in lead avr [visit 1],jhs,ms,JHS EXAM 1,0,0,phv00402039,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008746,phv00402219,phs000286,OMOP:4274406,prdurv6 - pr duration in lead v6 [visit 1],jhs,ms,JHS EXAM 1,0,0,phv00402039,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008746,phv00402216,phs000286,OMOP:4274406,prdurv3 - pr duration in lead v3 [visit 1],jhs,ms,JHS EXAM 1,0,0,phv00402039,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008746,phv00402217,phs000286,OMOP:4274406,prdurv4 - pr duration in lead v4 [visit 1],jhs,ms,JHS EXAM 1,0,0,phv00402039,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008747,phv00402524,phs000286,OMOP:4274406,pr duration in lead v4,jhs,ms,JHS EXAM 2,0,0,phv00402377,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008746,phv00402208,phs000286,OMOP:4274406,prduri - pr duration in lead i [visit 1],jhs,ms,JHS EXAM 1,0,0,phv00402039,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008747,phv00402517,phs000286,OMOP:4274406,pr duration in lead iii,jhs,ms,JHS EXAM 2,0,0,phv00402377,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008747,phv00402523,phs000286,OMOP:4274406,pr duration in lead v3,jhs,ms,JHS EXAM 2,0,0,phv00402377,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008746,phv00402209,phs000286,OMOP:4274406,prdurii - pr duration in lead ii [visit 1],jhs,ms,JHS EXAM 1,0,0,phv00402039,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,pr interval,pr_ekg,pht008747,phv00402515,phs000286,OMOP:4274406,pr duration in lead i,jhs,ms,JHS EXAM 2,0,0,phv00402377,0,0,0,ms,1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
