row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401196,bazett corrected qt interval (msec),ms,1.0,pht008729,phv00401078,1.0,JHS EXAM 1,0.0,0,0,0,1.0,phv00401085,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401197,hodge corrected qt interval (msec),ms,1.0,pht008729,phv00401078,1.0,JHS EXAM 1,0.0,0,0,0,1.0,phv00401085,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401198,fridericia corrected qt interval (msec),ms,1.0,pht008729,phv00401078,1.0,JHS EXAM 1,0.0,0,0,0,1.0,phv00401085,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401178,qt interval (msec),ms,1.0,pht008729,phv00401078,1.0,JHS EXAM 1,0.0,0,0,0,1.0,phv00401085,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401195,framingham corrected qt interval (msec),ms,1.0,pht008729,phv00401078,1.0,JHS EXAM 1,0.0,0,0,0,1.0,phv00401085,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401462,hodge corrected qt interval (msec),ms,1.0,pht008731,phv00401370,1.0,JHS EXAM 3,0.0,0,0,0,1.0,phv00401379,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401463,fridericia corrected qt interval (msec),ms,1.0,pht008731,phv00401370,1.0,JHS EXAM 3,0.0,0,0,0,1.0,phv00401379,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401460,framingham corrected qt interval (msec),ms,1.0,pht008731,phv00401370,1.0,JHS EXAM 3,0.0,0,0,0,1.0,phv00401379,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401443,qt interval (msec),ms,1.0,pht008731,phv00401370,1.0,JHS EXAM 3,0.0,0,0,0,1.0,phv00401379,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00401461,bazett corrected qt interval (msec),ms,1.0,pht008731,phv00401370,1.0,JHS EXAM 3,0.0,0,0,0,1.0,phv00401379,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00402085,qtdur - qt duration [visit 1],ms,1.0,pht008746,phv00402039,1.0,JHS EXAM 1,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,jhs,MeasurementObservation,qt interval,qt_ekg,1,OMOP:4273023,ms,phv00402416,qt duration,ms,1.0,pht008747,phv00402377,1.0,JHS EXAM 2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
