variable,ARIC_phv,ARIC_n,CARDIA_phv,CARDIA_n,CHS_phv,CHS_n,COPDGene_phv,COPDGene_n,FHS_phv,FHS_n,HCHS/SOL_phv,HCHS/SOL_n,JHS_phv,JHS_n,MESA_phv,MESA_n,WHI_phv,WHI_n
8-epi-PGF2a in urine,,,1,2720,,,,,,,,,,,1,376,,
AHI Apnea-Hypopnea Index,,,,,4,5488,,,,,,,,,,,,
AST SGOT,,,1,3581,,,,,,,,,,,,,,
Activity LP-PLA2 in blood,,,,,1,10758,,,,,,,,,1,10244,,
Age at Follow-up,1,14477,,,,,,,,,,,,,,,,
Albumin creatinine ratio in urine,3,24024,3,12495,,,,,,,1,11980,4,6386,6,22540,,
Albumin in blood,3,17989,3,9793,5,17846,,,,,,,,,,,,
Albumin in urine,4,13497,2,5930,,,,,,,1,11979,12,16335,7,24118,,
Alcohol,,,67,278328,16,41781,,,,,,,10,57210,,,8,2389035
Angina,10,568178,28,4630,26,289104,,,,,,,4,116973,3,18115,22,2179257
Aspirin,,,5,32949,27,198528,,,,,1,24560,7,198048,,,,
Asthma,16,313462,23,122504,31,194203,,,,,4,87006,9,149777,14,98579,7,1174908
Atrial fibrillation,27,506443,,,39,308221,,,,,1,21,3,74788,7,26411,14,2088324
BMI,2,6715,,,,,,,,,1,12486,,,3,4270,3,664794
BNP,9,27152,,,,,,,,,,,2,5158,,,3,7028
BUN,,,,,,,,,,,,,1,2773,,,1,5928
BUN Creatinine ratio,1,14928,,,,,,,,,,,,,,,,
Bilirubin total,,,1,3583,,,,,,,,,,,,,,
Body weight,7,70769,14,39325,6,21126,,,,,1,12495,4,13512,5,12539,8,1066230
CAC Score,,,23,60884,1,554,,,,,,,2,4288,68,153345,,
CAC volume,,,,,,,,,,,,,,,59,114141,,
CD40 in blood,,,,,,,,,,,,,,,1,964,,
CESD score,6,30504,,,,,,,,,1,12344,,,7,23756,,
COPD status,5,40321,,,2,14252,,,,,2,26600,1,12400,19,93284,5,218090
Cardiovascular disease,,,,,,,,,,,,,3,19600,3,31654,1,269816
Carotid IMT,139,854802,,,10,48336,,,,,,,24,75908,3,6719,,
Carotid plaque,41,2000988,,,,,,,,,,,6,55530,4,57810,,
Carotid stenosis,4,2492,,,2,53598,,,,,,,,,2,101792,,
Cause of Death,,,2,1090,,,,,,,,,,,,,,
Cause of death,16,459445,36,21014,1,13985,,,,,,,,,1,5552,6,950540
Chloride in blood,1,5833,,,,,,,,,,,1,3839,1,6129,,
Cigarette smoking,35,783928,21,122295,15,177339,,,,,2,31744,9,58835,20,225308,1,424089
Creatinine in blood,26,166348,2,6451,,,,,,,1,12511,5,17063,2,4534,1,5987
Creatinine in urine,5,8791,10,11770,,,,,,,1,12474,7,13439,6,23867,,
Cystatin C in blood,8,44017,,,3,27099,,,,,,,1,3783,2,10716,,
D-Dimer,1,11913,,,2,2821,,,,,,,,,5,8652,,
Death,60,1346351,8,293,1,11062,,,,,,,1,1840,,,5,1609192
Diabetes,41,838605,25,96155,35,267277,,,,,5,150186,12,168838,16,384469,4,537428
Diastolic blood pressure,53,473408,10,32760,,,,,,,,,35,151755,,,7,2473953
E-selectin in blood,,,,,,,,,,,,,1,2764,3,1655,,
EGFR,23,169507,,,,,,,,,2,23520,2,7678,13,40860,,
Education level,2,130077,11,38479,2,55150,,,,,1,37500,1,11613,4,69778,,
Ethnicity,1,11696,1,668,2,11022,,,,,,,,,24,288902,,
FEV1 - Forced Expiratory Volume in 1 sec,5,13750,26,66865,3,11228,,,,,1,12007,6,25716,3,4157,,
FEV1 FVC,,,,,,,,,,,,,,,3,475,,
FVC - Forced Vital Capacity,11,74391,24,61017,3,11227,,,,,1,12007,6,33082,3,4142,,
Factor VII,3,104673,4,4636,5,15188,,,,,,,,,,,2,30201
Factor VIII,2,118865,2,2989,1,4817,,,,,,,,,3,13716,,
Family history of stroke,9,214709,12,158728,,,,,,,,,9,82884,3,70631,,
Family income,2,250531,4,131250,3,94710,,,,,,,9,98195,8,244130,3,2509237
Fasting blood glucose,9,66457,2,6434,1,3138,,,,,1,12510,3,8062,13,37371,,
Fasting lipids,2,57908,2,10838,1,4639,,,,,1,11759,,,3,8262,,
Ferritin,,,,,,,,,,,1,12300,1,3811,,,,
Fibrinogen,2,15778,5,10916,4,14677,,,,,,,,,4,8936,1,15167
Fruits,18,1574716,12,40644,2,5062,,,,,,,,,2,8534,3,1018181
GFR,,,,,,,,,,,,,,,2,10923,,
Geographic Site,1,57908,1,14488,,,,,,,,,,,,,,
Glucose in blood,14,144526,4,13512,4,14708,,,,,,,4,10187,1,184,1,15759
HDL,29,307974,11,37429,4,14783,,,,,1,12510,12,32995,16,60439,3,46672
Heart failure,1,52146,,,,,,,,,,,,,,,,
Heart rate,43,352157,25,60109,76,207281,,,,,2,24802,11,113548,41,125877,2,172893
Height,20,177109,14,36658,9,39071,,,,,1,12504,10,43301,13,34249,3,621786
Hematocrit,10,146690,2,7204,4,20115,,,,,1,12420,1,3746,1,900,2,213421
Hemoglobin,10,89898,2,7204,4,14668,,,,,1,12420,1,3746,2,3655,2,213462
Hemoglobin A1c,4,8921,,,,,,,,,1,12467,10,26755,3,10326,,
Hip circumference,5,54810,10,33281,4,14989,,,,,1,12485,4,11748,7,28176,1,379632
History of cardiovascular disease,30,631205,5,8826,4,33470,,,,,,,4,52210,6,70198,8,363960
History of coronary angioplasty,9,176553,,,5,36495,,,,,,,11,24803,,,3,850918
History of coronary artery bypass graft,13,192105,2,0,4,32958,,,,,,,9,21436,5,28158,3,570946
History of heart disease,26,447008,14,9748,2,10800,,,,,,,,,6,264105,1,13602
History of heart failure,21,400625,2,1306,11,89443,,,,,1,24998,7,118653,1,4725,13,1771615
History of myocardial infarction,65,2968463,11,4836,12,102144,,,,,2,49844,12,275032,7,218026,3,586304
Hypertension,24,638759,23,93630,26,220607,,,,,,,11,154995,13,289242,4,717346
Hypertension treatment,42,1306554,29,149032,22,165194,,,,,2,40160,19,249062,26,417318,10,1989530
ICAM1 in blood,,,2,6039,1,2132,,,,,,,,,3,3194,,
Insulin in blood,7,63445,3,9647,4,14624,,,,,,,5,9364,4,12393,2,15307
Interleukin 10 in blood,,,,,,,,,,,,,,,2,947,,
LDL,12,100566,6,19828,7,23735,,,,,1,12252,12,33401,11,29610,1,15492
LVH from EKG,55,1073643,,,13,89962,,,,,,,6,28636,8,22492,2,348408
Lymphocytes count,7,72929,3,10787,,,,,,,2,23441,2,6739,1,4676,,
Lymphocytes percent,2,18663,,,,,,,,,1,11719,,,,,,
MMP9 in blood,,,,,,,,,,,,,,,1,964,,
