from,to,cause,why,variable,cohort,before,after
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,ARIC,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,CHS,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,COPDGene,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,FHS,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,HCHS/SOL,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,JHS,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,8-epi-PGF2a in urine,WHI,0/0,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AHI Apnea-Hypopnea Index,CARDIA,1/3581,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AHI Apnea-Hypopnea Index,CHS,-,4/5488
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AHI Apnea-Hypopnea Index,FHS,-,3/14252
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,ALT SGPT,ARIC,4/13497,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,ALT SGPT,CARDIA,2/5930,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,ALT SGPT,FHS,-,6/138810
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,ALT SGPT,HCHS/SOL,1/11979,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,ALT SGPT,JHS,12/16335,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,ALT SGPT,MESA,7/24118,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AST SGOT,CARDIA,5/32949,1/3581
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AST SGOT,CHS,27/198528,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AST SGOT,FHS,-,6/192973
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AST SGOT,HCHS/SOL,1/24560,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,AST SGOT,JHS,7/198048,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Activity LP-PLA2 in blood,CHS,4/5488,1/10758
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Activity LP-PLA2 in blood,MESA,-,1/10244
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin creatinine ratio in urine,ARIC,-,3/24024
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin creatinine ratio in urine,CARDIA,-,3/12495
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin creatinine ratio in urine,CHS,1/10758,-
